,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,1165851,768467,2000927,1694987,1612983,1578468,1144122,2054649,1732108,2344767,2155985,1663877,2423783,1237662,3564494,1349656,1106327,1687361,1336513,2067251,1608989,2579989,2679521,1577281,2077260,2023187,1569734,1884371,1356200,1803423,1795006.4333333333
1,1165851,657585,1208451,984962,1612983,1578468,1144122,2054649,1732108,2218325,1044657,1361257,2423783,1237662,3425420,1103954,919271,1687361,1336513,1454998,1128239,1710722,2679521,1387315,2077260,1568452,1546191,1375936,808698,965373,1520002.9
2,1165851,560400,860904,984962,1572483,1178039,1122350,1599950,1732108,1444537,924658,1268043,2049140,1237662,2269141,1103954,881421,1536953,1095774,1454998,1128239,1710722,1448980,1240563,1477377,1568452,1546191,1375936,808698,965373,1310461.9666666666
3,1165851,560400,768136,984962,1450845,1178039,1122350,922479,1054848,1145710,924658,923622,1954474,1237662,1262028,628205,881421,1240927,1095774,1447879,1128239,1409656,1094465,849981,1477377,1038022,1417627,884604,598763,965373,1093812.5666666667
4,1165851,560400,611926,984962,1268233,1178039,905207,922479,1051184,889791,850121,859125,1060122,1237662,970829,628205,849692,847738,836677,1229194,773708,1272686,1094465,744056,1477377,724698,1332223,884604,598763,965373,959179.6666666666
5,768906,549653,504845,760673,1155687,946499,874835,822536,1029226,889791,850121,772630,1060122,1237662,970829,628205,849692,840692,804005,1229194,729086,1096787,1094465,744056,1471456,724698,1162083,707700,598763,855328,891007.5
6,768906,451121,504845,722285,1155687,773420,847180,765003,993127,784277,630289,745463,1060122,1164617,866861,586568,608280,738543,772270,1054897,682300,1096787,1094465,676478,1266220,724698,1032817,668805,598763,639878,815832.4
7,768906,451121,499817,646606,992424,757765,704456,523193,993127,726551,630289,672622,945511,1153023,806214,523824,541131,738543,698981,773282,573583,674295,990472,676478,1247280,668530,791628,607648,590185,639878,733578.7666666667
8,768906,451121,449801,646606,992424,757765,550890,473483,985697,519753,630289,493425,759858,652367,545365,523824,524317,738543,698981,773282,552754,674295,962145,628836,953258,668530,622728,535470,473414,639878,654933.5
9,750645,443934,449801,502249,992424,549320,499393,473483,855505,519753,630289,493425,759858,652367,545365,515062,516767,613272,698981,662567,552754,674295,715159,551081,841684,668530,597619,440019,473414,477602,603887.2333333333
10,748537,443934,449801,502249,991108,549320,499393,473483,855505,487787,630289,493425,602362,584158,545365,450850,491139,613272,674303,662567,552754,674295,670064,551081,537434,502035,425294,440019,452847,477602,567742.4
11,610828,443934,449801,476906,991108,549320,474152,473483,666868,487787,630289,493425,602362,584158,525715,446299,491139,598243,609182,495070,545753,622526,670064,551081,537434,502035,425294,440019,443923,477602,543860.0
12,610828,443934,449801,476906,778999,549320,474152,445852,586424,487787,581436,493425,470937,584158,525715,446299,440175,598243,597609,495070,545753,622526,588425,493313,502854,502035,425294,440019,443923,477602,519293.8
13,499469,443934,449801,476906,778999,549320,461285,445852,586424,487787,581436,464588,470937,493158,502943,446299,440175,598243,597609,461024,545753,523864,530250,493313,502854,502035,425294,440019,443923,477602,504036.5333333333
14,499469,414897,449801,476906,681598,549320,461285,445852,586424,487787,574024,464588,470937,493158,502943,446299,440175,538408,580429,461024,500363,523864,530250,493313,502854,457618,425294,440019,443923,451161,493132.76666666666
15,499469,414897,443639,476906,681598,476360,453262,445852,586424,479213,554699,464588,470937,493158,502943,446299,440175,538408,553177,461024,500363,521541,530250,493313,489701,431287,425294,440019,443923,446624,486844.76666666666
16,499469,414897,439998,476906,681598,476360,453262,445852,547575,466582,554699,464588,470937,493158,493232,446299,439729,510237,553177,461024,500363,521541,503153,491403,451635,431287,425294,440019,443923,446624,481494.0333333333
17,488892,414897,439998,476906,681598,476360,439295,445852,547575,466582,527310,462900,469606,493158,450299,440986,439729,510237,553177,461024,500363,521541,503153,478520,451635,430786,425294,440019,432567,446624,477229.43333333335
18,455153,414897,439998,463479,681598,470118,439295,445852,547575,466582,527310,429231,453624,493158,450299,440986,434235,510237,527530,432765,500363,488450,469874,478520,451635,430786,412451,440019,432567,446624,469173.7
19,455153,414897,439998,447173,681598,470118,439295,445852,481815,466582,510785,429231,453624,493158,450299,440986,434235,510237,527530,432765,500363,445914,469489,467195,451635,430786,404810,440019,432567,446624,463824.43333333335
20,452724,414897,439998,447173,596116,470118,430444,440855,481815,466582,510257,429231,453624,493158,450299,440986,434235,435510,494253,432765,492949,445914,469489,467195,451635,430786,404810,440019,432567,446624,456567.6
21,452724,414897,433418,417180,596116,470118,430444,440855,476483,466582,510257,429231,453624,493158,450299,440986,434235,435510,491223,427108,492949,445914,469489,467195,451635,430786,404810,440019,432567,446624,454881.2
22,451188,414897,433418,417180,553797,465680,430444,440855,441747,454980,469777,424287,440184,493158,450299,440986,434235,435510,465631,427108,492949,445914,469489,467195,451635,430786,404810,430455,431002,444316,448463.73333333334
23,451188,414897,433418,417180,553797,465680,430444,440855,441747,454980,427575,424287,430398,493158,450299,440986,434235,435510,465631,427108,465193,445914,469489,467195,451635,430786,403040,430455,431002,444316,445746.6
