,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,2730718,4503978,3118507,4638421,2648342,5096775,2629912,3232668,3638196,3565797,1568888,4173834,8841908,3112890,8424088,5426516,2432802,3803217,3908277,2875832,7363575,3909960,2779100,2504250,5256269,5067096,4317724,5255004,4762478,2249584,4127886.8666666667
1,2730718,4148398,2784363,4638421,2361870,4068735,2629912,3232668,3638196,2650871,1568888,4173834,3287348,3112890,3887964,5426516,2432802,3378865,3632497,2457678,4813705,3648308,2652234,2504250,4737873,5067096,2741600,5255004,2322840,2249584,3407864.2666666666
2,1673544,3589020,2784363,3901407,2361870,2570165,2169786,3232668,3421206,2281989,1568888,3866982,2823576,3112890,3887964,5426516,2432802,1843479,3632497,2457678,3351497,3078488,2652234,2504250,4257381,4311142,2723464,4179004,2322840,2249584,3022305.8
3,1673544,3000746,2414133,2705711,2187088,2570165,2169786,3232668,2718620,2098143,1568888,2818872,2823576,3112890,2867802,4385266,2308328,1843479,3420457,2160316,2346879,3078488,2652234,2504250,3888233,3050856,2723464,3309762,2322840,2249584,2673568.933333333
4,1673544,2314886,2414133,2140053,1985992,1960461,1711270,3044688,1992414,2098143,1568888,2480488,2779494,3054736,1687896,3134146,1586022,1595343,3141593,1467560,1902955,2809860,2652234,2504250,2373647,3050856,2723464,3309762,2322840,2083292,2318830.3333333335
5,1256302,2314886,2321375,2063577,1720008,1312971,1681844,3044688,1992414,1680527,1568888,2401724,2677492,1821966,1687896,2287752,1586022,1462467,2745405,1467560,1902955,2151486,2652234,2244708,1880471,3050856,2723464,2786336,2198240,1962348,2088295.4
6,1256302,2314886,2321375,1507545,1720008,1312971,1482066,2465134,1840138,1452823,1316754,2246262,2061200,1821966,1687896,2180182,1586022,1339681,2329175,1467560,1603575,1708500,2652234,2179282,1605903,1716392,2720198,2167658,2023264,1927432,1867146.1333333333
7,1217752,2314886,1802137,1507545,1285928,1248561,1477222,1989692,1840138,1452823,1316754,1912456,1913948,1821966,1687896,2115626,1457162,1149301,2329175,1420052,1603575,1708500,2584884,2153824,1605903,1716392,2637932,2124418,2023264,1927432,1778238.1333333333
8,1217752,2010302,1802137,1507545,1172770,1248561,1274458,1518604,1495696,1452823,1316754,1912456,1913948,1821966,1652690,2115626,1457162,1149301,2329175,1148888,1310367,1407034,1904838,1942744,1461649,1716392,2027404,1690224,1778110,1583744,1611370.6666666667
9,1217752,1970446,1469789,1328511,1172770,1247239,1274458,1518604,1462360,1452823,1316754,1815324,1913948,1813422,1536560,1855850,1457162,1104495,2329175,1148888,1310367,1323578,1904838,1773278,1461649,1438408,1898636,1601496,1742672,1583744,1548166.5333333334
10,1181852,1588686,1215741,1328511,1165232,1110737,1257252,1518604,1130726,1201201,1316754,1048094,1720852,1813422,1334508,1543344,1457162,1056363,2142441,1144452,1254975,1323578,1904838,1599068,1324595,1438408,1660510,1352604,1742672,1207460,1402821.4
11,1170496,1249832,1215741,1271047,1089090,1110737,1257252,1518604,1130726,1201201,1316754,1019728,1720852,1622740,1313826,1543344,1457162,1056363,1963343,1144452,1198455,1323578,1795512,1599068,1324595,1438408,1652476,1336074,1387156,1207460,1354535.7333333334
12,1170496,1249832,1215741,1271047,1075474,1110737,1247416,1518604,1130726,1201201,1025882,1019728,1720852,1622740,1313826,1206706,1457162,1056363,1963343,1144452,1131181,1120096,1795512,1589750,1206943,1438408,1652476,1249206,1387156,1207460,1316683.8666666667
13,1170496,1249832,1207295,1271047,1007432,1110737,1168918,1500778,1130726,1164597,1025882,1019728,1384994,1451544,1117794,1012078,1457162,1056363,1955325,1092730,1131181,1067318,1660316,1589750,1176725,1152532,1437580,1224070,1387156,1207460,1252984.8666666667
14,1160864,1249832,1207295,1241807,1007432,1110737,1168918,1477774,1099902,1164597,1025882,1019728,1141514,1451544,1117794,1012078,1457162,1021427,1496761,1091010,1131181,1067318,1529236,1375954,1176725,1152532,1426172,1111648,1224052,1120982,1201328.6
15,1135800,1223444,1092785,1241807,1007432,1110737,1168918,1251644,1099902,1164597,1025882,1019728,1141514,1367328,1117794,1012078,1397294,1021427,1496761,1055890,1131181,1045416,1406928,1255972,1176725,1152532,1426172,1111648,1224052,1067008,1171679.8666666667
16,1027230,1223444,998663,1241807,1007432,1110737,1143922,1251644,1078050,1164597,966582,1019728,1141514,1367328,1117794,1012078,1397294,1021427,1496761,1055890,1079295,1027332,1406928,1147540,1168823,1036082,1087970,1050490,1224052,1067008,1137981.4
17,1027230,1223444,998663,1170317,1007432,1110737,1098048,1251644,1078050,1130223,966582,1019728,1141514,1367328,1047594,1012078,1397294,1021427,1406137,1030550,1079295,1027332,1344636,1144146,1168823,1036082,1087970,1011738,1224052,1067008,1123236.7333333334
18,1021240,1204614,998663,1119801,1007432,1110737,1098048,1251644,1076020,1130223,966582,1019728,1121942,1317548,1047594,1012078,1397294,1021427,1370735,1030550,1059199,1027332,1339786,1099622,1168823,1036082,1087970,1011738,1224052,1067008,1114850.4
19,1021240,1204614,998663,1119801,1007432,1110737,1087524,1183748,1005884,1130223,966582,954432,1121942,1317548,1047594,1012078,1323450,1021427,1213399,1030550,1059199,1027332,1255790,1099622,1063113,1036082,1087970,1011738,1224052,1067008,1093692.4666666666
20,1021240,1132906,998663,1119801,1007432,1092515,1087524,1183748,1005884,1128485,966582,954432,1121942,1297180,1047594,1012078,1323450,1021427,1213399,1030550,1059199,1027332,1255548,1099622,1053119,1036082,1087970,1011738,1196874,1067008,1088710.8
21,1021240,1050704,998663,1041583,1007432,1091339,1053944,1183748,1005884,1128485,957872,954432,1019976,1257200,1044498,1012078,1323450,1021427,1213399,1013388,1059199,1027332,1198828,1055746,1053119,1036082,1087970,1011738,1156250,1067008,1071800.4666666666
22,1021240,1050704,962081,943047,1007432,1091339,1053944,1168578,1005884,1057631,955270,954432,1019976,1104944,1032076,1006888,1323450,1021427,1207803,1013388,1059199,1027332,1198828,1055746,1036177,1026582,1087970,1011738,1112530,1067008,1056154.8
23,1021240,1050704,962081,943047,990232,1091339,1053944,1168578,1005884,1057631,955270,954432,1019976,1096390,1032076,1006888,1149144,1021427,1207803,1013388,1059199,1027332,1172226,1055746,1036177,1026582,1087970,1011738,1112530,1067008,1048599.4
24,1021240,1050704,962081,943047,990232,1087501,1053944,1168578,1005884,1057631,955270,952380,1019976,1096390,1032076,1006888,1149144,1021427,1207803,1013388,1042959,1027332,1172226,1055746,1036177,1026582,1020768,1011738,1112530,1067008,1045621.6666666666
25,1021240,1050704,962081,943047,990232,1087501,1030734,1168578,1005884,1057631,955270,952380,1019976,1096390,1032076,999302,1131186,1021427,1207803,1013388,1035185,1027332,1161614,1055746,1036177,1026582,1020768,1011738,1112530,1067008,1043383.6666666666
26,1021240,1050704,962081,943047,990232,1075697,1030734,1162456,1005884,1057631,953554,949232,989272,1096390,1032062,999302,1131186,1021427,1207803,1000344,1035185,1027332,1082642,1055746,1036177,1026582,1020768,1011738,1112530,1067008,1038532.8666666667
