,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,10965776,7313459,5898172,11676957,3894657,3872608,12405817,6168381,6649337,2006383,7507409,8743123,13079626,10234542,7427965,7000713,10608541,10967576,11680018,9376243,13521490,5437236,7250398,12212957,12210928,5348616,9365988,10889304,6194548,5476937,8512856.833333334
1,10347743,7313459,5898172,10770180,3609350,3872608,12378217,6168381,6474585,2006383,5705009,5873467,13079626,7296696,6582407,7000713,8583010,9436058,9523618,9376243,4994252,5396565,5891168,9981551,12060894,5300115,8225768,10889304,3904528,3762836,7390096.866666666
2,8610021,6231059,3310270,5031048,2416223,3051493,10219103,5281778,3499392,2006383,3500512,5873467,10756144,7296696,5271601,6394566,8583010,3696349,8934604,9298444,4994252,5396565,5891168,7197322,11668472,4711523,2283847,5447979,3904528,3088348,5794872.233333333
3,5197966,6231059,3310270,3133191,2416223,3051493,8792617,4566252,3499392,1985544,3500512,5873467,6457309,5846628,5271601,5925638,8022094,3446749,7331668,8777443,4811687,5171782,5891168,4233168,5615394,4439676,2283847,5447979,3904528,3088348,4917489.766666667
4,4906726,4378615,3310270,3033439,2021373,1503263,5697999,4566252,3499392,1985544,2246160,4929759,3358924,5812005,5044728,5241251,8022094,3287149,6977790,8110448,3969387,2680452,4041017,3756721,5615394,3745438,2283847,4757730,2949136,2817343,4151654.8666666667
5,3023458,3469342,2335763,2818783,1561487,1503263,5697999,4238710,3499392,1773820,2246160,3786643,3358924,5072712,4501871,4223638,6735325,2562618,6497351,5381581,3069065,2464353,4041017,3534163,4840221,3241435,2283847,4223493,2376393,2817343,3572672.3333333335
6,3023458,3469342,2007760,2559575,1536337,1422622,5697999,3427473,3420854,1588811,2246160,3786643,3358924,4355366,3638059,2405468,5463460,2562618,5603422,5258655,2950736,2464353,3729597,2218174,4840221,3096546,2168056,3524054,2070534,2236703,3204399.3333333335
7,3023458,3469342,2007760,2559575,1070355,1240670,4498105,3175894,2974087,1299346,2246160,3786643,3358924,3328777,3638059,2158418,5463460,2562618,4838251,4324026,2860130,2351644,3078935,2218174,4182079,2488369,2084072,3524054,2070534,2236703,2937287.4
8,2553691,2082109,2007760,2397917,1070355,1240670,3594756,3031351,2625753,1165580,1630187,3562478,3358924,3328777,3499794,2098746,5030581,2399108,4533503,4324026,1733824,2183898,2511940,1784440,3763420,2488369,2084072,3512952,2004132,2236703,2661327.2
9,2524757,2072547,2007760,2334019,992220,1140578,3594756,3031351,2625753,1107644,1630187,3018504,3002316,3071609,2862986,2069788,4626426,2399108,3730986,4260705,1733824,1788388,2511940,1784440,3502648,2165956,1178683,3113854,1642556,1986370,2450421.966666667
10,2429471,2072547,2007760,1473777,992220,1140578,3594756,3031351,1689119,1107644,1475775,2673564,3002316,2977586,2862986,1344897,3954544,2061478,3422060,3454535,1733824,1739881,2349550,1784440,1614286,2146792,1178683,3031726,1363011,1986370,2189917.566666667
11,2151728,1866618,1489004,1358723,992220,1140578,3049117,2507646,1689119,1107644,1146186,2516896,2403647,2338470,2814649,1344897,3360207,2061478,3226475,3136476,1733824,1516406,1792879,1784440,1614286,1807342,1178683,3031726,1289316,1951126,1980060.2
12,2017266,1801878,1489004,1325574,992220,953684,3049117,2507646,1689119,1107644,1146186,2277504,2403647,2338470,2350174,1310895,2756988,1849613,3214149,2997113,1547964,1155104,1792879,1784440,1614286,1741483,909055,2746970,1202848,1464379,1851243.3
13,1981740,1621127,1426428,1325574,949007,945691,2390550,1835233,1672374,1047843,1146186,2277504,2255159,2338470,2350174,1310895,1948294,1849613,2915872,2829993,1255748,1155104,1792879,1784440,1614286,1548909,909055,2710587,1029544,1447975,1722208.4666666666
14,1981740,1452456,1391352,1144784,949007,921482,2117897,1634341,1672374,910226,1132806,2147934,1858912,2338470,2350174,1310895,1948294,1722050,2354700,2650929,1255748,1155104,1792879,1784440,1614286,1388440,909055,2710587,1029544,1447975,1635962.7
15,1776001,1280947,1307237,1144784,949007,900497,1458014,1634341,1388782,910226,1078103,2126922,1858912,2264907,1833844,1288356,1948294,1722050,2245732,2105623,1131901,1102241,1781835,1732679,1614286,1388440,909055,2456733,996533,1367472,1523458.4666666666
16,1776001,1207667,1307237,1035413,949007,900497,1458014,1612939,1079078,910226,844031,1763377,1597982,1974526,1278083,1265558,1948294,1664664,1788375,2105623,1131901,1102241,1457952,1732679,1614286,1243330,909055,2386426,996533,1367472,1413615.5666666667
17,1776001,1152714,1307237,1035413,949007,900497,1458014,1612939,1059952,910226,837560,1763377,1597982,1721734,1278083,1189488,1897307,1664664,1788375,1894233,904449,965766,1285226,1732679,1614286,1243330,909055,1980941,990669,1367472,1359622.5333333334
18,1545696,1072989,1230571,1025238,949007,900497,1458014,1555248,1059952,888684,837560,1763377,1597982,1661055,1205945,1189488,1897307,1664664,1788375,1643261,904449,965766,1059776,1687322,1243320,1243330,909055,1799803,825020,1367472,1298007.4333333333
19,1545696,1072989,1198766,1025238,949007,900497,1327434,1502194,1022395,888684,837560,1744250,1169660,1661055,1205945,1113703,1386477,1471661,1663864,1626652,904449,965766,1059776,1592881,1243320,1197902,909055,1799803,825020,1367472,1239305.7
20,1545696,1072989,1027105,981504,949007,900497,1285523,1502194,894793,888684,837560,1731753,1169660,1661055,1108161,1113703,1095463,1391184,1663864,1626652,904118,922222,1059776,1492493,1243320,1197902,896421,1780605,825020,1270241,1201305.5
21,1545696,1072989,1027105,900282,949007,900497,1285523,1315681,894793,888684,815089,1375285,1169660,1536187,919812,1096354,1095463,1391184,1663864,1626652,896305,922222,1012895,1492493,1243320,1197902,848301,1780605,825020,1270241,1165303.7
22,1433525,1072989,1027105,900282,949007,900497,1285523,1315681,894793,888684,815089,1375285,1169660,1304547,919812,1096354,1095463,1177056,1470219,1626652,896305,922222,1003430,1492493,1220491,1155562,848301,1776631,825020,1040008,1129956.2
23,1147945,1072989,1027105,900282,943641,900497,1278008,1265161,894793,888684,815089,1360009,1169660,1209347,919812,1096354,1095463,1177056,1470219,1436298,887675,922222,992373,1404443,1220491,1155562,848301,1655994,825020,1040008,1100683.3666666667
24,1147945,1060414,1027105,900282,943641,900497,1278008,1265161,894793,888684,815089,1221779,1154681,961281,919812,1096354,850331,1177056,1470219,1436298,887675,922222,965023,1404443,1220491,999076,843472,1416307,825020,1040008,1064438.9
25,1147945,1060414,997864,900282,943641,900497,1076350,962803,894793,888684,815089,1200925,1154681,961281,919812,1096354,850331,960358,1036146,1194006,887675,922222,965023,1404443,1220491,999076,843472,1416307,825020,1040008,1016199.7666666667
26,1147945,1058163,892210,900282,943641,900497,1076350,962803,894793,885470,815089,1200925,1154681,961281,919812,1085754,850331,960358,1036146,1194006,887675,922222,965023,1404443,1220491,999076,843472,1297925,825020,1040008,1008196.4
27,1123600,926648,892210,900282,943641,900497,1076350,962803,894793,885470,793416,1118394,1043925,867383,919812,1085754,850331,960358,1035355,1194006,875025,898611,959914,1404443,1220491,962200,843472,1297925,825020,1040008,990071.2333333333
