,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,26062738,33508935,28811923,10603999,18645065,19531842,42765321,17593854,8911580,9975986,16018758,28370623,20807531,25257741,24451909,17964210,31753625,31100337,36707543,20329667,27391696,15485937,15814690,25026524,13392506,17094630,26696865,47250069,34772961,20924863,23767464.266666666
1,21670428,28993923,22565479,8862769,14030305,7005492,42765321,17129570,6028414,8358766,16018758,22502539,14343147,4488261,5810637,17964210,17001489,23700391,11391887,12707473,23252148,15485937,12153438,25026524,13392506,15903056,24464597,42557397,19178249,20924863,17855932.466666665
2,16948658,8891747,14051921,8862769,12519693,7005492,29143337,15071454,6028414,7341940,16018758,19928773,14343147,4488261,4999215,17616410,17001489,16741699,8140007,12707473,23252148,12239563,12153438,16254490,13392506,15903056,22908657,29866891,19178249,12557715,14518579.0
3,15617068,8891747,13481625,6587837,6992429,4807450,24932087,14266658,6028414,6167104,16018758,19878939,11990263,4488261,2746343,17616410,17001489,13013633,8140007,9803275,20680602,12239563,11126086,14531236,12723390,15903056,19540817,29299889,13194349,12557715,13008883.333333334
4,13470754,8891747,12292509,6587837,6992429,4733054,24932087,11619398,6028414,5488024,16018758,18221647,9843099,4488261,2746343,14865634,15512067,9795477,7829451,9803275,20680602,12239563,10283184,13084252,9648956,15903056,15880423,29299889,11042613,10233831,11948554.466666667
5,10393202,8891747,12292509,6587837,3458765,4231564,17781321,11619398,6028414,5488024,16018758,17770655,9843099,4488261,2746343,9845964,15512067,9795477,6720291,9803275,20680602,12239563,8959880,13084252,7917398,15541574,12855797,18738639,10736919,9707723,10659310.6
6,9168202,6992109,9613187,6587837,3458765,4231564,16610121,11379850,6028414,5488024,12756118,14256515,9634715,4488261,2746343,9845964,9007547,9795477,5945303,7483903,10436104,8942229,8959880,11711622,7516862,14527526,10911797,18039345,7452781,7003875,9034008.0
7,9168202,5324763,8993423,6517155,3458765,4231564,13853625,8434914,6028414,5254206,12756118,13940779,8486567,4488261,2701207,9845964,9007547,7591881,5608415,4812919,10436104,8942229,7183674,9050856,6752670,7647010,8755065,16888637,7452781,5485283,7969966.6
8,8823334,4361371,7991115,6517155,2450751,4145136,12702921,8204490,5421068,4782610,10408806,12226749,6750079,4409969,2408715,9798294,6621529,7591881,5608415,4812919,9154512,7613711,5169306,9050856,4623060,7647010,8755065,14976021,7076849,5485283,7186299.333333333
9,8823334,3821957,6298535,6517155,2450751,3085864,11913621,6685730,5421068,4782610,9868144,9633047,6185077,3899441,2139267,9002018,5544969,6403801,4106839,4755319,8291464,7528895,4583332,6769198,4623060,7647010,6821103,14005001,5008513,5485283,6403380.2
10,7748928,3821957,5634989,6517155,2450751,3085864,10337257,6685730,5421068,3740970,6478066,9633047,5801047,2758925,2139267,8685584,5544969,3764281,4106839,4077149,8291464,6802559,4583332,5349836,4167618,7647010,5807821,12648945,4909847,5485283,5804251.933333334
11,7748928,3441949,4251133,5840943,2450751,3085864,8789321,5835332,5421068,3353550,6478066,8611067,4000667,2758925,2072453,7631974,5544969,3453037,2948571,3068455,8291464,5674757,4561710,5349836,3783004,6194888,5499389,11159361,4909847,4475787,5222902.2
12,7538290,3441949,4251133,5690607,2072893,3061830,5838537,5300526,4464066,3235378,5794862,7198577,3201631,2758925,2072453,6725714,4998391,2439235,2948571,3068455,7389806,4816261,3522058,3319460,2479924,6194888,4840779,9546325,4427933,4244525,4562799.4
13,7538290,3441949,4248191,5456811,2072893,2585014,5201849,5010838,4464066,3025926,5572882,5920767,2299543,2758925,2072453,6725714,4998391,2439235,2818627,2765485,7001638,3855143,2933116,2307086,2479924,5409678,4152767,8649345,3469931,3960347,4187894.1333333333
14,7025296,3333805,3487777,5456811,2072893,2585014,5055827,5010838,4464066,3025926,4081680,5693017,2299543,2758925,1816255,6712570,3518411,2439235,2818627,2765485,5974462,3855143,2305978,2307086,2011656,5409678,3658591,7635857,2986469,3960347,3884242.2666666666
15,7025296,3333805,3335611,5456811,2072893,2144746,3879659,5010838,4442956,3025926,3797800,5187185,2299543,2758925,1816255,6244852,3518411,2215553,2818627,2765485,5974462,3855143,2305978,2307086,2011656,5409678,2944319,6775143,2986469,2835187,3685209.933333333
16,6928830,3235787,3335611,5456811,2072893,2020252,3151203,5010838,3052460,3025926,3797800,4465461,2299543,2758925,1806403,5624794,3518411,2215553,2379527,2570225,5763498,3855143,2305978,2307086,2011656,4244148,2944319,5305817,2830765,2835187,3437695.0
17,6678870,3235183,3335611,5438393,1919335,2020252,2455503,3473538,3052460,2301456,3797800,4191143,1931655,2758925,1806403,5545470,3518411,2136919,1709549,2570225,5763498,2257979,2305978,2307086,2011656,4244148,2944319,5305817,2103627,2150973,3175739.4
18,6670940,3225565,3317209,5418865,1919335,2020252,2444875,3473538,3052460,2301456,3555872,4191143,1931655,2718853,1806403,5026886,3046387,2002319,1709549,2570225,5763498,2257979,2102766,2307086,2011656,3617470,2644047,4576897,2103627,2150973,3064659.533333333
19,6670940,3225565,3298663,5177287,1919335,1780482,2444875,3473538,3052460,2301456,2986176,4191143,1931655,2374573,1806403,4642514,3046387,2002319,1709549,2570225,5735076,2257979,2057562,2291182,2011656,3617470,2503763,4576897,2103627,2150973,2997057.6666666665
20,6307718,2219789,2796131,5177287,1919335,1780482,2416915,3473538,3052460,2301456,2784016,3770411,1931655,2374573,1806403,4642514,3046387,2002319,1709549,2248639,5735076,2257979,2027116,2291182,2011656,3617470,1954117,4539445,2103627,1792307,2869718.4
21,6307718,2219789,2598455,5177287,1845297,1780482,2416915,3074606,3052460,2301456,2784016,3351681,1931655,2374573,1806403,4451272,3046387,2002319,1709549,2248639,5374348,2257979,1967586,2092544,2011656,3617470,1954117,4539445,2103627,1792307,2806401.2666666666
22,6307718,2219789,2571957,5177287,1845297,1780482,2416915,3074606,3052460,2301456,2524874,3302609,1931655,2133077,1767227,4451272,3046387,1981853,1709549,2248639,5374348,2252227,1967586,1867638,1984730,3617470,1757187,4045343,2103627,1792307,2753585.7333333334
23,6307718,2046919,2571957,4926497,1845297,1780482,2416915,1985618,3052460,2301456,2300270,2906475,1931655,2102325,1767227,4088610,3046387,1832131,1709549,2248639,5374348,2237787,1967586,1867638,1984730,3617470,1757187,3189645,2103627,1792307,2635363.7333333334
24,6307718,2038305,2571957,4859053,1845297,1780482,2416915,1985618,3052460,2099074,2300270,2512501,1931655,2102325,1767227,4048578,3046387,1832131,1709549,2094311,5374348,2132507,1943640,1867638,1984730,3309906,1757187,3145845,2103627,1792307,2590451.6
25,6307718,2038305,2310587,4859053,1845297,1780482,2398283,1985618,2891222,1997030,2300270,2512501,1931655,2102325,1751609,4048578,3046387,1832131,1709549,2094311,4737760,2132507,1943640,1867638,1984730,2990452,1715597,3145845,2103627,1792307,2538567.1333333333
26,6307718,2038305,2234893,4766149,1845297,1780482,2376051,1947844,2891222,1997030,1955016,2512501,1931655,2102325,1739575,4048578,3046387,1830295,1709549,2094311,4737760,2132507,1942370,1867638,1984730,2473724,1715597,3070339,2103627,1792307,2499192.7333333334
