,MX,MP,CR,TSCC
0,0.1,0.6,0.7,1514879.85
1,0.1,0.6,0.8,1622250.45
2,0.1,0.6,0.9,1526201.75
3,0.1,0.7,0.7,1135186.1
4,0.1,0.7,0.8,1156635.9
5,0.1,0.7,0.9,1277162.05
6,0.1,0.8,0.7,1082856.15
7,0.1,0.8,0.8,845094.3
8,0.1,0.8,0.9,1132782.25
9,0.2,0.6,0.7,1744039.5
10,0.2,0.6,0.8,1825600.1
11,0.2,0.6,0.9,1630407.75
12,0.2,0.7,0.7,1908554.8
13,0.2,0.7,0.8,1417781.45
14,0.2,0.7,0.9,1713421.6
15,0.2,0.8,0.7,1612488.65
16,0.2,0.8,0.8,1483031.7
17,0.2,0.8,0.9,1262005.7
18,0.3,0.6,0.7,2500553.6
19,0.3,0.6,0.8,2471609.75
20,0.3,0.6,0.9,2359767.15
21,0.3,0.7,0.7,1538189.45
22,0.3,0.7,0.8,2503375.95
23,0.3,0.7,0.9,2291330.45
24,0.3,0.8,0.7,2159735.6
25,0.3,0.8,0.8,1870975.1
26,0.3,0.8,0.9,1869331.6
