,MX,MP,CR,TSCC
0,0.1,0.6,0.7,2898087.6
1,0.1,0.6,0.8,2977843.8
2,0.1,0.6,0.9,3299343.6
3,0.1,0.7,0.7,2759668.3
4,0.1,0.7,0.8,3276105.2
5,0.1,0.7,0.9,3505393.4
6,0.1,0.8,0.7,2756784.3
7,0.1,0.8,0.8,2634711.3
8,0.1,0.8,0.9,2702848.5
9,0.2,0.6,0.7,3903037.9
10,0.2,0.6,0.8,4165460.8
11,0.2,0.6,0.9,3964423.3
12,0.2,0.7,0.7,3184203.3
13,0.2,0.7,0.8,4350371.0
14,0.2,0.7,0.9,3903384.6
15,0.2,0.8,0.7,3754716.1
16,0.2,0.8,0.8,2901876.7
17,0.2,0.8,0.9,3004739.3
18,0.3,0.6,0.7,6595078.9
19,0.3,0.6,0.8,4524935.7
20,0.3,0.6,0.9,5759566.2
21,0.3,0.7,0.7,4442697.6
22,0.3,0.7,0.8,5349960.6
23,0.3,0.7,0.9,4318291.3
24,0.3,0.8,0.7,3048859.3
25,0.3,0.8,0.8,6041127.5
26,0.3,0.8,0.9,3390496.4
