,MX,MP,CR,TSCC
0,0.1,0.6,0.7,4202068.55
1,0.1,0.6,0.8,5194732.1
2,0.1,0.6,0.9,3852361.35
3,0.1,0.7,0.7,5538169.1
4,0.1,0.7,0.8,5794476.8
5,0.1,0.7,0.9,4236997.15
6,0.1,0.8,0.7,4837314.8
7,0.1,0.8,0.8,5419157.45
8,0.1,0.8,0.9,3948236.5
9,0.2,0.6,0.7,7746501.4
10,0.2,0.6,0.8,5738258.2
11,0.2,0.6,0.9,4688442.6
12,0.2,0.7,0.7,7309629.85
13,0.2,0.7,0.8,6791500.05
14,0.2,0.7,0.9,6504368.1
15,0.2,0.8,0.7,5203877.3
16,0.2,0.8,0.8,5415851.15
17,0.2,0.8,0.9,4749964.25
18,0.3,0.6,0.7,10793359.35
19,0.3,0.6,0.8,7091213.75
20,0.3,0.6,0.9,8825846.25
21,0.3,0.7,0.7,8843182.2
22,0.3,0.7,0.8,6548222.0
23,0.3,0.7,0.9,6239243.15
24,0.3,0.8,0.7,8092946.4
25,0.3,0.8,0.8,6251891.85
26,0.3,0.8,0.9,6827520.25
