,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,26817670,10214926,14033103,24542067,8940188,20004047,19647676,24617516,24050006,26661537,26080762,17775230,27365876,16735378,12568948,4128260,11008908,14368445,5168401,24293632,14863225,6900652,24185448,12633446,14063511,12723630,15161806,9110120,18320128,10509240,16583126.066666666
1,9213938,8702866,5180969,9302955,11477876,5462875,25381684,20073836,10684448,15753289,3875168,8818636,21852632,18082674,23152078,12497948,15226846,31128193,11174013,15942524,15488569,3541762,4053820,24763602,8430711,15658394,16926072,29465768,18832946,11284902,14381066.466666667
2,19114526,4393636,5684837,33765267,20650736,13839811,8656906,19433074,9918678,10916323,6051034,11375026,18586804,4023518,5375540,11141486,10597116,6031611,9551533,2413100,9851355,3269482,11090052,2565190,19859003,14204278,5748454,5079680,6156788,9901212,10641535.2
3,4660756,11748466,24309055,26259267,10648372,4990551,5850612,7196708,2326364,5115625,8999002,17783484,15973076,8599470,5235048,6211474,11857118,14849773,7515133,10469888,11733321,3647660,4606204,6600076,5723675,3427528,2718964,14523368,6550302,4026744,9138569.466666667
4,3861548,8782548,5772161,3675015,3256956,3797987,1988132,4868504,4862294,20514585,8706330,9683500,4548208,4224154,7762944,3652588,3713714,6280533,3584649,2951196,3752657,3650580,2967798,6301046,4933193,8026782,5253932,2915860,8535048,8077784,5696740.866666666
5,4295266,6053366,3405185,4777947,14458712,3667823,3533656,4368972,4098694,19986529,5760610,18938890,3723432,4199806,7053972,5123980,8198496,5760129,4998005,2950948,4575975,3545574,2967798,2796990,10689329,2542180,2511776,2646824,7083924,1324748,5867984.533333333
6,1959672,8184466,7523015,5720271,3876008,7385169,1656798,13622834,4706394,2578615,10926856,6703964,2300042,3866730,4618730,9545938,7096414,2791523,5268163,2799816,7354849,3442434,3487666,2757188,5865577,1681360,3772488,4612568,2276638,4756052,5104607.933333334
7,4578872,6737906,4217135,3760819,12014320,6615381,3234578,5315788,2518010,3875797,7687942,3604994,6567192,3076254,5715834,3572442,4315818,2099283,3045817,3204704,2783721,6415812,3645886,5315894,5268753,1982296,3390558,3867530,2395510,1404784,4407654.333333333
8,2572102,7355250,12218983,3887689,2742652,9432443,2244936,5431496,2730546,4602501,5477216,17084948,3075456,3017898,4925768,4551454,3466920,3744381,4649329,2391776,2345733,2610360,3006926,2740520,3365679,1756798,4536160,2064670,2568450,1994634,4419789.133333334
9,3350662,3870290,6883397,4944531,3979044,1492709,3965728,5798824,2131742,3264081,3753090,6394936,4025938,4064848,5692956,5112802,3386614,1777111,2546655,2468516,4073269,2293300,2317036,3844242,4905613,1892576,2429576,2249110,5945098,3163132,3733914.2
10,2082362,6233112,2100933,3663475,8437320,1610467,3853432,17775068,1722036,3592769,3806412,4067956,3021856,2546188,5315916,3823806,4202844,2425589,4483637,1374614,3193383,2516952,4482492,2062022,3421555,1706712,5735606,2171942,6997836,1675954,4003474.8666666667
11,2040908,2296870,4768879,8028169,4668200,1522967,4228124,2965524,3051858,4635205,2451356,3356154,4265126,3220670,4669856,4190188,4442660,1891535,4274293,2900776,2532997,2270734,2421480,1820500,7388621,2654478,4421276,3968216,1777580,2547804,3522433.466666667
12,2130138,4971340,2387263,2861997,5595720,1497263,3118568,4548252,3994790,4377013,11478104,4740588,2138414,3689516,5683078,3446604,4330454,2574975,4668193,1756158,3071385,2993336,2093886,1614754,3542077,1743522,1428962,3569238,2469954,2015520,3484368.7333333334
13,2116154,5816210,8762337,4562883,3906248,1916017,3832416,3553592,2514422,1677217,1932798,5046218,2337152,2644366,5395616,3896490,4070622,1320839,2531797,1569318,2897633,3252392,2392482,2733042,3706579,2549302,2804566,1882470,2278876,1821966,3190734.0
14,3040050,5049074,2405607,3553043,3741060,1635499,2837010,5134764,3931774,3725713,1868982,5276676,2818672,2134502,3091300,8186266,3040698,2323293,3755031,2016694,2699153,2625560,2995188,2509082,5346055,2165464,1839716,1998268,1899540,1744068,3179593.4
15,1959002,4884042,2153139,9240819,4845660,1605015,2670938,5642888,4182918,2125237,3026946,3313740,2103346,2425426,6061384,2451304,4988546,1169023,3923541,2144890,1909799,2246648,1900134,2610606,3863925,2168862,3748414,2206550,3142218,2698774,3247124.466666667
16,2848346,4898784,2993391,3618635,2511028,1839967,2326596,3154044,2894260,3633857,1828964,3197184,2293240,3066912,6924296,3281452,2594130,2087805,3022147,1282116,4240341,1815584,3241228,1750210,3333641,1654554,3965780,1631408,1805036,1702386,2847910.7333333334
17,2114400,2235504,1123207,7945217,2650712,2094047,1604068,3544050,2937858,2735467,3847620,3412696,2414444,1866930,3241400,3475782,2971890,1239721,2446745,1618380,2570617,2455896,3087088,1759160,2822979,3107944,2657856,3650498,5513832,1755782,2830059.6666666665
18,3185606,4065962,1401425,3344833,3261836,4408389,2014594,4609624,3311360,4418571,2009648,3190980,2294596,3143030,3305574,3335210,3899862,1694419,3474889,1659382,2646893,1929636,4739438,2024956,5823107,3023110,2369918,1549774,1791084,1492224,2980664.3333333335
19,1723118,3900514,2037713,3534653,2146572,1881411,3611050,2754968,2127086,1797481,1929286,4160890,1580756,2458378,2821970,2419418,2973510,1207281,2579911,1708774,6485813,2472218,1686106,2771730,11388869,6938960,2114258,1671996,7053048,1207730,3104848.933333333
20,8971618,2433668,1331797,2549525,2703108,2210591,5428060,4242816,1700478,1994317,1911402,2714108,2876144,2137226,2192284,4756678,3773422,1201999,8661787,1263966,1930525,2171748,1547664,1459920,3411225,7845496,1382616,1995226,3859030,1561882,3074010.8666666667
21,1883008,2260048,2082739,3106361,2713108,1874567,1849602,2856100,1327700,2655497,1937398,2835900,3629632,2497720,3561284,3313070,1566424,1083765,6975151,1245074,2716155,2247012,2333640,1542878,3031725,2239996,1490650,1470920,2651048,2065834,2434800.2
22,3197752,2427396,3256443,3217957,3574728,1890959,1743338,2574926,2403622,2649145,3272492,3487746,1654102,1954856,1584430,3734458,2995504,1806897,2116835,1573744,1929785,3371832,2092114,3499354,4056711,1581778,1971938,2036846,1356846,1228714,2474774.933333333
