,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,9724309,9937104,2862330,6770480,6328939,5374980,801780,4107348,2899264,5206083,7404486,4646409,3004355,3357501,6465595,3039390,3347444,6531894,3555653,8789106,2192130,5575100,9158732,6929266,7064893,6367637,11059082,10635917,6147937,6889249,5872479.766666667
1,1649313,6845443,6412586,5207216,6883683,5629005,7326934,5061175,6064690,5369433,3256003,2216500,2863216,5963802,3861346,7854426,4222077,6878625,5211937,879617,3236561,8243729,5374666,5160607,4754544,4375112,2227522,3365463,4781721,7128417,4943512.3
2,742000,3592725,2777786,7450061,3816022,6765667,1764671,7424782,3245335,5540781,5197368,4710103,6309716,2692773,1584240,2683148,3868509,6786475,4292064,2606999,4677850,6000901,9102991,3120190,4761217,1756922,5321223,1746843,5730426,2909587,4299312.5
3,1498437,4526829,1666192,5387605,2274163,3459376,7166405,6560691,3798490,6165595,3402241,3888776,8251246,3926202,6504418,7741596,4868818,5765403,7782939,1843074,4377705,8087708,8991391,4850590,3212305,3322712,2760423,3069516,3011985,6864141,4834232.4
4,617436,3631082,1245709,3577757,1636671,3142037,1466584,3590579,2375646,1836317,2298227,5265289,4149716,3248439,3299362,4340172,4347842,3384392,3937522,10467089,4234622,6915061,5494448,2339138,5712493,2259538,2399223,2355896,2580318,3252615,3513374.0
5,625794,3197566,1962700,5868532,1776858,1774698,2577417,3283010,5370814,4832573,4014800,1572637,3208393,3886941,2314794,4160752,3325245,2181988,1489478,2880696,1311404,2970032,7217132,2063078,1806979,1406542,3070000,3383351,2403023,3203184,2971347.033333333
6,840542,4767504,1636002,1687615,1555658,1441380,795962,4933498,1530441,5500597,2898570,3727999,1305245,2785017,716567,981585,4540925,4481094,3817196,1211744,5574793,6613919,4835648,1759214,2935393,1489382,5344145,2050687,2039444,2882132,2889329.933333333
7,798712,2796924,1514027,2175939,1586339,1735634,1109920,4933386,2230172,3625916,2556029,1651670,3065098,2674389,1983566,1743039,3183934,2030549,4849945,1569562,1072305,1696913,2238848,2063688,4121611,2460436,2651382,1849252,2272884,1079985,2310735.1333333333
8,862970,3415184,1367385,1955111,1403018,1790379,1443018,1812390,1795835,1833352,2127903,1590263,3190951,3440855,1781844,1116105,3238883,2537316,823001,427368,1026405,2063820,2831092,1856982,2175061,2664689,1992288,1560424,3615878,2364473,2003474.7666666666
9,863752,3475151,1034315,1702675,999217,1556765,844003,4726502,1306690,2561798,1239808,1907454,2171355,3144981,972536,3028889,2592159,2146798,1583103,833895,982650,1762743,2540645,1852953,898038,1184348,1793848,1432547,3418928,821569,1846003.8333333333
