,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,28823502,32939231,25417344,28142380,36025368,22344198,28245537,25991620,32793274,49374970,36828209,12499708,36289390,13500056,31878863,22819422,43163481,32859922,36104554,16781209,36298522,43864503,33475202,30009551,36786150,40996511,24220195,28517485,27193867,36538146,31024079.0
1,9378954,5381698,24071961,12682302,44980932,39677810,33564217,22296786,35095212,15084030,31731230,13559567,6608000,33752190,27272974,17984412,42999392,11635601,44066461,16781209,34989322,30955769,3861043,54479951,23563802,9099689,33355795,32353310,24946528,42551757,25958730.133333333
2,24296472,17899559,24328632,17525133,20603865,9643734,36354217,29943916,29849298,19504651,17577266,23666777,16923790,32792199,19600174,6181472,38693561,31920936,24472018,20532840,22082123,15872685,28514703,27125771,25755348,12902468,29158195,26437410,27340267,12052513,22985066.433333334
3,6629026,28603211,2399879,26514240,14565348,14862714,34761817,33751577,13887970,16131698,12318680,13301323,13224190,4402626,21332649,10195815,15552322,30589288,19956602,26883772,29838712,15814606,12932029,19481888,13302096,4649217,12122379,10680110,29755327,5667061,17136939.066666666
4,12469297,15723959,13236178,17665902,24921045,20796273,18383017,21844845,11811475,19606899,12297815,15548779,12004107,3343147,10139469,5299344,13890120,14507872,28549802,18238812,17506522,41978873,10702703,16458022,16183831,14563600,15066945,13521861,30425546,5723175,16413641.166666666
5,18066122,8211959,3615816,3678954,14846661,13758960,5179224,6672340,21900451,19445617,14079414,4787786,13282701,16304521,19570174,9080674,22777597,14747777,20322405,29292172,17609568,35235303,6870688,14478325,11535031,4944292,8404995,10375996,29964198,9292622,14277744.766666668
6,26963646,7769468,9108387,8270140,14948941,4680781,5736217,5622549,17818269,17415484,14706830,11242267,5822590,3265695,11585732,8758693,21162914,20841706,33756387,18897103,16374843,23155614,6836289,21913247,6720997,3998601,11825172,8837468,13309383,11742750,13102938.766666668
7,17384222,4040778,4143480,3904965,6822859,4119320,3298486,5153647,15276163,20252170,12983009,8942844,8570720,3352869,18605374,3550014,2584370,16127534,7293012,8946010,5490590,11499560,3203529,3695391,10578660,4781241,8761141,5349410,17226894,7791248,8457650.333333334
8,17375975,15233954,2346741,4662882,6502587,5062904,3476598,8169511,10727734,14638906,7623633,9942726,7632190,4041711,8995737,3542322,14681920,20745229,4711618,2202658,7055400,20462294,2849938,14060351,13205081,8809992,8354785,9508507,11504396,1199788,8977602.266666668
9,13355393,3354115,4770408,3878847,6893753,4350931,11031817,7030869,10280061,11043266,11533748,7359457,5460190,3490424,10645930,4846614,23868761,20155055,8474381,15581636,11430345,10023644,2653361,18899354,11406014,8752850,8320938,7412089,15160528,6071165,9584531.466666667
10,10174638,4198887,2561935,7053169,12643569,4398290,6043882,7217549,6933203,1860764,4975669,7058347,5382190,3992820,10359381,4502166,12203561,5182405,6766376,8426833,7495917,12844453,2643427,7079102,6914878,9110847,4615377,11622017,13422869,6952838,7154578.633333334
11,3917666,6310103,3321577,2942664,6341959,5036174,5530711,3286899,5512013,6285564,5732212,3829970,4953790,4802426,12101680,5696781,1879450,11191933,3641284,2147025,18062291,10636580,3288784,6788191,11339120,3738820,6245032,8506020,13671328,1355491,6269784.6
12,8470074,4871392,2334386,8039094,13587972,4871388,5137217,3190305,3012590,10265990,5674565,5509480,6855790,3859866,12495088,3651776,16404671,7527688,5763832,2070745,4420522,10027835,3316249,20835666,5811176,5285634,4403546,8380399,12145689,1631721,6995078.2
13,6997249,19109621,4940657,3487065,6625549,4605270,3651778,6505776,3796380,9168556,7151009,6237510,4371124,5919074,9861132,5130526,13242761,9219736,4417829,2534546,10717287,8462695,3377797,6918432,8874177,2325883,9485296,6648096,9159328,1213931,6805202.333333333
14,5089424,24258685,4224502,2911544,11822103,3651278,3521055,3685141,17996389,2231233,2575441,3481452,7944906,4005927,7526771,4196007,10834598,4844199,3859956,2436901,10718567,4371561,2691652,4029025,7579555,4175565,9662317,3654515,14105683,1052280,6437941.066666666
15,4388179,4271978,3671291,3879708,12387033,4138290,4174851,3329817,2757725,4078607,3082058,2699368,4233857,2478207,11237258,4246430,2709713,5157150,3962729,2281821,3959825,1259767,3202481,4743376,8175305,3924820,6225977,4551538,11198804,931646,4577986.966666667
16,2141194,4854359,5273603,3933796,9038520,3414430,3087344,2815003,3914363,1701330,2986964,2559069,3474148,3724806,9443396,4718202,15289301,5280318,3745452,2625683,3157730,5188126,2703348,5606827,11750856,2240646,4414080,3572259,13539196,3244801,4981305.0
17,4172957,3341789,2408066,3866598,6016823,5187116,2149938,3608768,5229692,2056461,4500216,1795929,4962190,3460758,6278128,4856590,5638053,4107873,5573190,4884587,2601045,1157739,2577226,3285604,11750856,3280600,7351384,2203929,9547892,1447436,4309981.1
18,3980712,4043483,3333165,4807122,6743605,4125162,7153052,3933581,3963446,1572519,3737009,1741653,4247971,7294336,8708311,5403376,3238645,4107873,3010200,2588962,4322142,1304695,2344587,3578475,5683567,3914316,4570591,3102289,12602128,1357592,4350485.5
