,MX,MP,CR,TSCC
0,0.1,0.6,0.7,1146895.4
1,0.1,0.6,0.8,1116806.4
2,0.1,0.6,0.9,1378794.9
3,0.1,0.7,0.7,1058929.3
4,0.1,0.7,0.8,1071120.4
5,0.1,0.7,0.9,1268704.9
6,0.1,0.8,0.7,1103869.5
7,0.1,0.8,0.8,1019465.8
8,0.1,0.8,0.9,1157613.3
9,0.2,0.6,0.7,1060465.9
10,0.2,0.6,0.8,1051729.8
11,0.2,0.6,0.9,1057588.4
12,0.2,0.7,0.7,1024845.9
13,0.2,0.7,0.8,1030514.6
14,0.2,0.7,0.9,1092236.6
15,0.2,0.8,0.7,1008192.5
16,0.2,0.8,0.8,1008561.1
17,0.2,0.8,0.9,1011594.8
18,0.3,0.6,0.7,1076352.9
19,0.3,0.6,0.8,1052239.3
20,0.3,0.6,0.9,1043206.1
21,0.3,0.7,0.7,1023064.5
22,0.3,0.7,0.8,1018162.5
23,0.3,0.7,0.9,1029634.4
24,0.3,0.8,0.7,1041327.7
25,0.3,0.8,0.8,1050062.8
26,0.3,0.8,0.9,1029497.1
