,MX,MP,CR,TSCC
0,0.1,0.6,0.7,1107776.7
1,0.1,0.6,0.8,1626216.4
2,0.1,0.6,0.9,1540814.75
3,0.1,0.7,0.7,1245122.1
4,0.1,0.7,0.8,1399450.7
5,0.1,0.7,0.9,1431283.7
6,0.1,0.8,0.7,1091393.05
7,0.1,0.8,0.8,1422398.7
8,0.1,0.8,0.9,1028325.2
9,0.2,0.6,0.7,1078486.0
10,0.2,0.6,0.8,1221487.3
11,0.2,0.6,0.9,1229919.35
12,0.2,0.7,0.7,979224.8
13,0.2,0.7,0.8,1115890.65
14,0.2,0.7,0.9,1075733.9
15,0.2,0.8,0.7,976241.7
16,0.2,0.8,0.8,1030087.15
17,0.2,0.8,0.9,995702.5
18,0.3,0.6,0.7,1037421.2
19,0.3,0.6,0.8,1146130.3
20,0.3,0.6,0.9,1117419.45
21,0.3,0.7,0.7,1017179.45
22,0.3,0.7,0.8,1006315.85
23,0.3,0.7,0.9,1011314.7
24,0.3,0.8,0.7,1019333.15
25,0.3,0.8,0.8,1105294.75
26,0.3,0.8,0.9,1031601.0
