,MX,MP,CR,TSCC
0,0.1,0.6,0.7,485131.2
1,0.1,0.6,0.8,473762.15
2,0.1,0.6,0.9,527918.6
3,0.1,0.7,0.7,454917.8
4,0.1,0.7,0.8,483849.5
5,0.1,0.7,0.9,490519.1
6,0.1,0.8,0.7,453091.25
7,0.1,0.8,0.8,455368.0
8,0.1,0.8,0.9,472144.85
9,0.2,0.6,0.7,458581.05
10,0.2,0.6,0.8,469337.6
11,0.2,0.6,0.9,502698.95
12,0.2,0.7,0.7,443401.6
13,0.2,0.7,0.8,449486.85
14,0.2,0.7,0.9,448276.6
15,0.2,0.8,0.7,443880.95
16,0.2,0.8,0.8,443477.7
17,0.2,0.8,0.9,443790.9
18,0.3,0.6,0.7,466661.0
19,0.3,0.6,0.8,461672.95
20,0.3,0.6,0.9,459311.75
21,0.3,0.7,0.7,455376.65
22,0.3,0.7,0.8,456488.85
23,0.3,0.7,0.9,450512.05
24,0.3,0.8,0.7,463333.2
25,0.3,0.8,0.8,450191.25
26,0.3,0.8,0.9,450923.4
