,MX,MP,CR,TSCC
0,0.1,0.6,0.7,2983034.2
1,0.1,0.6,0.8,3878249.2
2,0.1,0.6,0.9,3502333.8
3,0.1,0.7,0.7,2796705.5
4,0.1,0.7,0.8,3138755.8
5,0.1,0.7,0.9,2728927.6
6,0.1,0.8,0.7,2448220.1
7,0.1,0.8,0.8,3021038.9
8,0.1,0.8,0.9,2714490.7
9,0.2,0.6,0.7,2412549.6
10,0.2,0.6,0.8,2404102.6
11,0.2,0.6,0.9,2349688.3
12,0.2,0.7,0.7,2166770.9
13,0.2,0.7,0.8,2331998.1
14,0.2,0.7,0.9,2162015.6
15,0.2,0.8,0.7,2005971.4
16,0.2,0.8,0.8,2083860.0
17,0.2,0.8,0.9,1969898.0
18,0.3,0.6,0.7,2231748.9
19,0.3,0.6,0.8,2075479.7
20,0.3,0.6,0.9,2261549.4
21,0.3,0.7,0.7,2129837.1
22,0.3,0.7,0.8,2069569.5
23,0.3,0.7,0.9,1996023.1
24,0.3,0.8,0.7,2030485.7
25,0.3,0.8,0.8,2011283.2
26,0.3,0.8,0.9,1982509.2
