,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"{'TSCC': 28255840, 'CHROM': [ 796, 2563, 1037, 2788]}","{'TSCC': 34260901, 'CHROM': [2025,  339, 1569, 1321]}","{'TSCC': 32839823, 'CHROM': [1281, 1574, 2647, 2875]}","{'TSCC': 116938501, 'CHROM': [4542, 6073, 1485, 2351]}","{'TSCC': 59175685, 'CHROM': [2114, 2330, 4142, 2554]}","{'TSCC': 119952410, 'CHROM': [4022, 5405, 4804, 2965]}","{'TSCC': 60426921, 'CHROM': [1013, 4259, 3841, 2734]}","{'TSCC': 22300894, 'CHROM': [1287,  499, 2443, 3206]}","{'TSCC': 78888764, 'CHROM': [5280,  263, 2310, 2864]}","{'TSCC': 63182484, 'CHROM': [4178,  922, 1490, 2983]}","{'TSCC': 61413346, 'CHROM': [2892, 1658, 3475, 3084]}","{'TSCC': 90363151, 'CHROM': [3548, 3277, 4820, 1232]}","{'TSCC': 107973509, 'CHROM': [5067, 4398, 1051, 3273]}","{'TSCC': 50360143, 'CHROM': [1917, 1278, 5241, 1812]}","{'TSCC': 21839037, 'CHROM': [ 919, 1028, 2695, 1941]}","{'TSCC': 111270330, 'CHROM': [5608, 3703, 1707, 2812]}","{'TSCC': 78404003, 'CHROM': [3536, 3584, 1263, 1426]}","{'TSCC': 30709093, 'CHROM': [1262,  422, 4736, 1195]}","{'TSCC': 125288263, 'CHROM': [6035, 3814, 3286, 2336]}","{'TSCC': 56370475, 'CHROM': [2894, 1824, 2335, 2435]}","{'TSCC': 50650628, 'CHROM': [2142, 2775, 1369, 1497]}","{'TSCC': 68775239, 'CHROM': [1559, 4446, 3574, 2707]}","{'TSCC': 57205286, 'CHROM': [2590, 2869, 1177, 2447]}","{'TSCC': 18032672, 'CHROM': [1045,  935, 1791, 1864]}","{'TSCC': 112385082, 'CHROM': [5491, 3444, 3107, 1896]}","{'TSCC': 114492726, 'CHROM': [4432, 5703, 2160, 2115]}","{'TSCC': 123456197, 'CHROM': [6354, 2895, 3627, 2846]}","{'TSCC': 75129237, 'CHROM': [4044, 1619, 3369, 1426]}","{'TSCC': 68478063, 'CHROM': [3115, 3240, 1130, 2692]}","{'TSCC': 21766911, 'CHROM': [ 302, 2224, 2311, 1591]}"
1,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 23626683, 'CHROM': [1335,  439, 2748, 2427]}","{'TSCC': 24497927, 'CHROM': [ 696, 2148, 1674, 2242]}","{'TSCC': 30048041, 'CHROM': [1637, 1068, 2325, 1443]}","{'TSCC': 40983999, 'CHROM': [ 859, 3442, 2096, 1216]}","{'TSCC': 40468010, 'CHROM': [1525, 2634, 1392, 1746]}","{'TSCC': 47273591, 'CHROM': [1004, 3970, 1884, 2003]}","{'TSCC': 22300894, 'CHROM': [1287,  499, 2443, 3206]}","{'TSCC': 55050796, 'CHROM': [3789,  406, 1930, 2403]}","{'TSCC': 35853832, 'CHROM': [1850, 1558, 1231, 1195]}","{'TSCC': 61413346, 'CHROM': [2892, 1658, 3475, 3084]}","{'TSCC': 73022127, 'CHROM': [2118, 4194, 3553, 1698]}","{'TSCC': 62621507, 'CHROM': [3114, 2565, 1274, 3121]}","{'TSCC': 40083103, 'CHROM': [1799, 1549, 2600, 3077]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 71724994, 'CHROM': [2810, 3275, 3042, 1478]}","{'TSCC': 78404003, 'CHROM': [3536, 3584, 1263, 1426]}","{'TSCC': 20943949, 'CHROM': [ 180,  560, 1289, 1847]}","{'TSCC': 100402635, 'CHROM': [4145, 3264, 4915, 2154]}","{'TSCC': 56370475, 'CHROM': [2894, 1824, 2335, 2435]}","{'TSCC': 30493154, 'CHROM': [2208,  583, 1477, 2533]}","{'TSCC': 55624119, 'CHROM': [2364, 2117, 3368, 1510]}","{'TSCC': 27928372, 'CHROM': [2083,  390, 1366, 2370]}","{'TSCC': 18032672, 'CHROM': [1045,  935, 1791, 1864]}","{'TSCC': 83035754, 'CHROM': [4010, 1637, 5197, 1273]}","{'TSCC': 95150854, 'CHROM': [3181, 4752, 3780, 2138]}","{'TSCC': 96268997, 'CHROM': [4844, 2004, 4256, 2922]}","{'TSCC': 45363345, 'CHROM': [1472, 1547, 4828, 2264]}","{'TSCC': 63423465, 'CHROM': [4042,  874, 1462, 1397]}","{'TSCC': 21766911, 'CHROM': [ 302, 2224, 2311, 1591]}"
2,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 23626683, 'CHROM': [1335,  439, 2748, 2427]}","{'TSCC': 24497927, 'CHROM': [ 696, 2148, 1674, 2242]}","{'TSCC': 30048041, 'CHROM': [1637, 1068, 2325, 1443]}","{'TSCC': 40983999, 'CHROM': [ 859, 3442, 2096, 1216]}","{'TSCC': 12445886, 'CHROM': [ 874,  554, 1054, 2564]}","{'TSCC': 27420921, 'CHROM': [ 683, 2453, 1610, 2561]}","{'TSCC': 22300894, 'CHROM': [1287,  499, 2443, 3206]}","{'TSCC': 25842536, 'CHROM': [1644,  263,  685, 2259]}","{'TSCC': 27877418, 'CHROM': [ 191, 1260,  818, 1553]}","{'TSCC': 61413346, 'CHROM': [2892, 1658, 3475, 3084]}","{'TSCC': 39841563, 'CHROM': [1559, 1408, 3643, 2712]}","{'TSCC': 31437215, 'CHROM': [1494, 1321, 2152, 3217]}","{'TSCC': 40083103, 'CHROM': [1799, 1549, 2600, 3077]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 71724994, 'CHROM': [2810, 3275, 3042, 1478]}","{'TSCC': 78404003, 'CHROM': [3536, 3584, 1263, 1426]}","{'TSCC': 20943949, 'CHROM': [ 180,  560, 1289, 1847]}","{'TSCC': 100402635, 'CHROM': [4145, 3264, 4915, 2154]}","{'TSCC': 21027861, 'CHROM': [ 777, 1689, 1568, 1570]}","{'TSCC': 19540284, 'CHROM': [1410,  598, 1173, 2585]}","{'TSCC': 30091137, 'CHROM': [1675, 1140, 1967, 1303]}","{'TSCC': 26473594, 'CHROM': [1532,  651, 2344, 2940]}","{'TSCC': 18032672, 'CHROM': [1045,  935, 1791, 1864]}","{'TSCC': 83035754, 'CHROM': [4010, 1637, 5197, 1273]}","{'TSCC': 64719798, 'CHROM': [2000, 3515, 3687, 1167]}","{'TSCC': 29281009, 'CHROM': [ 888, 1137, 4189, 1748]}","{'TSCC': 45363345, 'CHROM': [1472, 1547, 4828, 2264]}","{'TSCC': 63423465, 'CHROM': [4042,  874, 1462, 1397]}","{'TSCC': 14413137, 'CHROM': [ 223, 1697, 1909, 1337]}"
3,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 23626683, 'CHROM': [1335,  439, 2748, 2427]}","{'TSCC': 24497927, 'CHROM': [ 696, 2148, 1674, 2242]}","{'TSCC': 24407461, 'CHROM': [1174, 1224, 2217, 1270]}","{'TSCC': 40983999, 'CHROM': [ 859, 3442, 2096, 1216]}","{'TSCC': 12445886, 'CHROM': [ 874,  554, 1054, 2564]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 12418448, 'CHROM': [ 224,  309, 2210, 1534]}","{'TSCC': 25842536, 'CHROM': [1644,  263,  685, 2259]}","{'TSCC': 10763258, 'CHROM': [ 193, 1059, 1264, 1665]}","{'TSCC': 18942330, 'CHROM': [1012,  573, 2371, 3339]}","{'TSCC': 32898011, 'CHROM': [1775, 1508, 1238, 2897]}","{'TSCC': 31437215, 'CHROM': [1494, 1321, 2152, 3217]}","{'TSCC': 40083103, 'CHROM': [1799, 1549, 2600, 3077]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 61944362, 'CHROM': [1288, 4692, 2820, 1124]}","{'TSCC': 75015793, 'CHROM': [4663,  553,  948, 1497]}","{'TSCC': 5633937, 'CHROM': [ 306,  741, 1512, 2923]}","{'TSCC': 93168743, 'CHROM': [2379, 5760, 3636, 2474]}","{'TSCC': 21027861, 'CHROM': [ 777, 1689, 1568, 1570]}","{'TSCC': 9060230, 'CHROM': [ 350,  899, 2160, 1700]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 11447274, 'CHROM': [ 772,  403, 1841, 2640]}","{'TSCC': 18032672, 'CHROM': [1045,  935, 1791, 1864]}","{'TSCC': 83035754, 'CHROM': [4010, 1637, 5197, 1273]}","{'TSCC': 62868470, 'CHROM': [1895, 4116, 2260, 1819]}","{'TSCC': 27954317, 'CHROM': [ 193, 1349, 5129, 3083]}","{'TSCC': 45363345, 'CHROM': [1472, 1547, 4828, 2264]}","{'TSCC': 55948657, 'CHROM': [3622,  717, 2170, 2626]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
4,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 23626683, 'CHROM': [1335,  439, 2748, 2427]}","{'TSCC': 15352223, 'CHROM': [ 791,  820, 1973, 2910]}","{'TSCC': 21926217, 'CHROM': [ 414, 1039, 4160, 2283]}","{'TSCC': 40983999, 'CHROM': [ 859, 3442, 2096, 1216]}","{'TSCC': 8520874, 'CHROM': [ 373, 1022, 1447, 1767]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 12418448, 'CHROM': [ 224,  309, 2210, 1534]}","{'TSCC': 21224308, 'CHROM': [1435,  343, 1044, 3104]}","{'TSCC': 10763258, 'CHROM': [ 193, 1059, 1264, 1665]}","{'TSCC': 18942330, 'CHROM': [1012,  573, 2371, 3339]}","{'TSCC': 32898011, 'CHROM': [1775, 1508, 1238, 2897]}","{'TSCC': 21259523, 'CHROM': [1296,  592, 1241, 1838]}","{'TSCC': 22956511, 'CHROM': [ 933, 1161, 2845, 1275]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 27411028, 'CHROM': [ 654, 2617, 1273, 1752]}","{'TSCC': 35082599, 'CHROM': [1905,  496,  845, 1588]}","{'TSCC': 5633937, 'CHROM': [ 306,  741, 1512, 2923]}","{'TSCC': 93168743, 'CHROM': [2379, 5760, 3636, 2474]}","{'TSCC': 21027861, 'CHROM': [ 777, 1689, 1568, 1570]}","{'TSCC': 9060230, 'CHROM': [ 350,  899, 2160, 1700]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 11447274, 'CHROM': [ 772,  403, 1841, 2640]}","{'TSCC': 14815884, 'CHROM': [ 124, 1713, 1472, 1723]}","{'TSCC': 33927482, 'CHROM': [ 484, 2900, 2847, 1996]}","{'TSCC': 25230814, 'CHROM': [ 807, 1590, 2570, 2504]}","{'TSCC': 27954317, 'CHROM': [ 193, 1349, 5129, 3083]}","{'TSCC': 41229705, 'CHROM': [2286, 1666,  701, 3344]}","{'TSCC': 55948657, 'CHROM': [3622,  717, 2170, 2626]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
5,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 23626683, 'CHROM': [1335,  439, 2748, 2427]}","{'TSCC': 15352223, 'CHROM': [ 791,  820, 1973, 2910]}","{'TSCC': 19198213, 'CHROM': [ 399,  971, 3981, 1409]}","{'TSCC': 33654777, 'CHROM': [1494, 2015, 1160, 1575]}","{'TSCC': 8520874, 'CHROM': [ 373, 1022, 1447, 1767]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 12418448, 'CHROM': [ 224,  309, 2210, 1534]}","{'TSCC': 21224308, 'CHROM': [1435,  343, 1044, 3104]}","{'TSCC': 10763258, 'CHROM': [ 193, 1059, 1264, 1665]}","{'TSCC': 18942330, 'CHROM': [1012,  573, 2371, 3339]}","{'TSCC': 32898011, 'CHROM': [1775, 1508, 1238, 2897]}","{'TSCC': 16890245, 'CHROM': [ 299,  651, 1546, 1626]}","{'TSCC': 22956511, 'CHROM': [ 933, 1161, 2845, 1275]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 27411028, 'CHROM': [ 654, 2617, 1273, 1752]}","{'TSCC': 35082599, 'CHROM': [1905,  496,  845, 1588]}","{'TSCC': 5633937, 'CHROM': [ 306,  741, 1512, 2923]}","{'TSCC': 40151503, 'CHROM': [2021, 1815, 1565, 1633]}","{'TSCC': 21027861, 'CHROM': [ 777, 1689, 1568, 1570]}","{'TSCC': 8343112, 'CHROM': [ 455,  936, 1407, 2557]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 11447274, 'CHROM': [ 772,  403, 1841, 2640]}","{'TSCC': 14815884, 'CHROM': [ 124, 1713, 1472, 1723]}","{'TSCC': 33927482, 'CHROM': [ 484, 2900, 2847, 1996]}","{'TSCC': 25230814, 'CHROM': [ 807, 1590, 2570, 2504]}","{'TSCC': 13918493, 'CHROM': [ 194, 1343, 2523, 1846]}","{'TSCC': 41229705, 'CHROM': [2286, 1666,  701, 3344]}","{'TSCC': 45830203, 'CHROM': [3003, 1034,  725, 2168]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
6,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 13985383, 'CHROM': [ 288,  621, 3671, 2432]}","{'TSCC': 15352223, 'CHROM': [ 791,  820, 1973, 2910]}","{'TSCC': 19198213, 'CHROM': [ 399,  971, 3981, 1409]}","{'TSCC': 33654777, 'CHROM': [1494, 2015, 1160, 1575]}","{'TSCC': 8520874, 'CHROM': [ 373, 1022, 1447, 1767]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 12418448, 'CHROM': [ 224,  309, 2210, 1534]}","{'TSCC': 21224308, 'CHROM': [1435,  343, 1044, 3104]}","{'TSCC': 8807534, 'CHROM': [ 133,  755, 2108, 2753]}","{'TSCC': 18942330, 'CHROM': [1012,  573, 2371, 3339]}","{'TSCC': 28471697, 'CHROM': [ 592, 2843,  961, 3289]}","{'TSCC': 16890245, 'CHROM': [ 299,  651, 1546, 1626]}","{'TSCC': 22956511, 'CHROM': [ 933, 1161, 2845, 1275]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 27411028, 'CHROM': [ 654, 2617, 1273, 1752]}","{'TSCC': 35082599, 'CHROM': [1905,  496,  845, 1588]}","{'TSCC': 5633937, 'CHROM': [ 306,  741, 1512, 2923]}","{'TSCC': 13611861, 'CHROM': [ 665,  773, 1927, 1241]}","{'TSCC': 16432403, 'CHROM': [1263,  404, 1476, 2537]}","{'TSCC': 8343112, 'CHROM': [ 455,  936, 1407, 2557]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 11447274, 'CHROM': [ 772,  403, 1841, 2640]}","{'TSCC': 13912622, 'CHROM': [ 219, 1883, 1007, 3108]}","{'TSCC': 33746494, 'CHROM': [ 253, 2471, 4369, 1955]}","{'TSCC': 25230814, 'CHROM': [ 807, 1590, 2570, 2504]}","{'TSCC': 13918493, 'CHROM': [ 194, 1343, 2523, 1846]}","{'TSCC': 41229705, 'CHROM': [2286, 1666,  701, 3344]}","{'TSCC': 45830203, 'CHROM': [3003, 1034,  725, 2168]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
7,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 13985383, 'CHROM': [ 288,  621, 3671, 2432]}","{'TSCC': 15352223, 'CHROM': [ 791,  820, 1973, 2910]}","{'TSCC': 19198213, 'CHROM': [ 399,  971, 3981, 1409]}","{'TSCC': 19591017, 'CHROM': [ 927, 1274, 1675, 1653]}","{'TSCC': 8520874, 'CHROM': [ 373, 1022, 1447, 1767]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 11601450, 'CHROM': [ 290,  443, 3309, 2273]}","{'TSCC': 15498148, 'CHROM': [1138,  422, 1124, 2342]}","{'TSCC': 8807534, 'CHROM': [ 133,  755, 2108, 2753]}","{'TSCC': 18942330, 'CHROM': [1012,  573, 2371, 3339]}","{'TSCC': 28471697, 'CHROM': [ 592, 2843,  961, 3289]}","{'TSCC': 13504415, 'CHROM': [ 466,  938, 2361, 2837]}","{'TSCC': 22956511, 'CHROM': [ 933, 1161, 2845, 1275]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 8925858, 'CHROM': [ 494,  349, 2405, 1574]}","{'TSCC': 6322659, 'CHROM': [ 515,  352, 1505, 2941]}","{'TSCC': 5633937, 'CHROM': [ 306,  741, 1512, 2923]}","{'TSCC': 13611861, 'CHROM': [ 665,  773, 1927, 1241]}","{'TSCC': 16432403, 'CHROM': [1263,  404, 1476, 2537]}","{'TSCC': 4624078, 'CHROM': [ 297,  490, 1748, 3126]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 11447274, 'CHROM': [ 772,  403, 1841, 2640]}","{'TSCC': 13912622, 'CHROM': [ 219, 1883, 1007, 3108]}","{'TSCC': 13150282, 'CHROM': [ 275, 1465, 1974, 2171]}","{'TSCC': 12694604, 'CHROM': [ 211, 1844, 1061, 2193]}","{'TSCC': 13918493, 'CHROM': [ 194, 1343, 2523, 1846]}","{'TSCC': 41229705, 'CHROM': [2286, 1666,  701, 3344]}","{'TSCC': 45830203, 'CHROM': [3003, 1034,  725, 2168]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
8,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 13985383, 'CHROM': [ 288,  621, 3671, 2432]}","{'TSCC': 15352223, 'CHROM': [ 791,  820, 1973, 2910]}","{'TSCC': 19198213, 'CHROM': [ 399,  971, 3981, 1409]}","{'TSCC': 19591017, 'CHROM': [ 927, 1274, 1675, 1653]}","{'TSCC': 8520874, 'CHROM': [ 373, 1022, 1447, 1767]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 11190530, 'CHROM': [ 160,  758, 2687, 3157]}","{'TSCC': 5833702, 'CHROM': [ 281,  705, 1947, 1875]}","{'TSCC': 7030382, 'CHROM': [ 252,  849, 1721, 2951]}","{'TSCC': 17267114, 'CHROM': [ 180,  309, 2697, 3248]}","{'TSCC': 13228587, 'CHROM': [ 116, 1394, 1592, 1277]}","{'TSCC': 13504415, 'CHROM': [ 466,  938, 2361, 2837]}","{'TSCC': 19409331, 'CHROM': [ 699,  374, 1272, 1833]}","{'TSCC': 7611325, 'CHROM': [ 403,  592, 2193, 1759]}","{'TSCC': 6287030, 'CHROM': [ 153,  493, 2126, 1707]}","{'TSCC': 6322659, 'CHROM': [ 515,  352, 1505, 2941]}","{'TSCC': 5217961, 'CHROM': [ 292,  369, 1461, 2667]}","{'TSCC': 13611861, 'CHROM': [ 665,  773, 1927, 1241]}","{'TSCC': 14573307, 'CHROM': [1019,  306, 1079, 2685]}","{'TSCC': 4614238, 'CHROM': [ 267,  424, 1550, 2752]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 7197244, 'CHROM': [ 461,  352, 1969, 1620]}","{'TSCC': 13912622, 'CHROM': [ 219, 1883, 1007, 3108]}","{'TSCC': 4949862, 'CHROM': [ 296,  555, 2082, 1866]}","{'TSCC': 12694604, 'CHROM': [ 211, 1844, 1061, 2193]}","{'TSCC': 11315865, 'CHROM': [ 164,  361, 1890, 2890]}","{'TSCC': 41229705, 'CHROM': [2286, 1666,  701, 3344]}","{'TSCC': 37991025, 'CHROM': [2324, 1159,  850, 1881]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
9,"{'TSCC': 11935608, 'CHROM': [ 645, 1142,  758, 2672]}","{'TSCC': 8284259, 'CHROM': [ 116,  449, 1717, 2958]}","{'TSCC': 11427911, 'CHROM': [ 540, 1195,  971, 1979]}","{'TSCC': 17987557, 'CHROM': [ 589,  412, 3901, 2104]}","{'TSCC': 19591017, 'CHROM': [ 927, 1274, 1675, 1653]}","{'TSCC': 8520874, 'CHROM': [ 373, 1022, 1447, 1767]}","{'TSCC': 22910161, 'CHROM': [1107, 1505, 1258, 2502]}","{'TSCC': 9790050, 'CHROM': [ 225,  441, 2824, 1762]}","{'TSCC': 5833702, 'CHROM': [ 281,  705, 1947, 1875]}","{'TSCC': 7030382, 'CHROM': [ 252,  849, 1721, 2951]}","{'TSCC': 17267114, 'CHROM': [ 180,  309, 2697, 3248]}","{'TSCC': 13228587, 'CHROM': [ 116, 1394, 1592, 1277]}","{'TSCC': 5461023, 'CHROM': [ 123,  812, 1170, 2431]}","{'TSCC': 13884399, 'CHROM': [ 240,  292, 2377, 2221]}","{'TSCC': 5450841, 'CHROM': [ 290,  848, 1364, 2575]}","{'TSCC': 6287030, 'CHROM': [ 153,  493, 2126, 1707]}","{'TSCC': 6322659, 'CHROM': [ 515,  352, 1505, 2941]}","{'TSCC': 4148425, 'CHROM': [ 191,  679, 1174, 2542]}","{'TSCC': 13611861, 'CHROM': [ 665,  773, 1927, 1241]}","{'TSCC': 6055311, 'CHROM': [ 430,  440, 1977, 1791]}","{'TSCC': 4614238, 'CHROM': [ 267,  424, 1550, 2752]}","{'TSCC': 7713759, 'CHROM': [ 512,  569, 1970, 1672]}","{'TSCC': 7197244, 'CHROM': [ 461,  352, 1969, 1620]}","{'TSCC': 13912622, 'CHROM': [ 219, 1883, 1007, 3108]}","{'TSCC': 4949862, 'CHROM': [ 296,  555, 2082, 1866]}","{'TSCC': 12694604, 'CHROM': [ 211, 1844, 1061, 2193]}","{'TSCC': 11315865, 'CHROM': [ 164,  361, 1890, 2890]}","{'TSCC': 26575635, 'CHROM': [1196, 1763, 1081, 1726]}","{'TSCC': 37991025, 'CHROM': [2324, 1159,  850, 1881]}","{'TSCC': 10797851, 'CHROM': [ 307, 1269, 1749, 2317]}"
