,MX,MP,CR,TSCC
0,0.1,0.5,0.5,4959872.4
1,0.1,0.5,0.6,3924866.1333333333
2,0.1,0.5,0.7,3094001.1333333333
3,0.1,0.5,0.8,3748778.0
4,0.1,0.5,0.9,3333734.4
5,0.1,0.5,1.0,2981832.3333333335
6,0.1,0.6,0.5,4424957.4
7,0.1,0.6,0.6,3608793.1333333333
8,0.1,0.6,0.7,3849600.466666667
9,0.1,0.6,0.8,3219012.533333333
10,0.1,0.6,0.9,2857151.1333333333
11,0.1,0.6,1.0,2487346.6
12,0.1,0.7,0.5,3184653.8666666667
13,0.1,0.7,0.6,2903934.8
14,0.1,0.7,0.7,2620597.4
15,0.1,0.7,0.8,3024548.6666666665
16,0.1,0.7,0.9,2683696.2666666666
17,0.1,0.7,1.0,2534477.8666666667
18,0.1,0.8,0.5,2571687.0
19,0.1,0.8,0.6,2608062.2
20,0.1,0.8,0.7,2248102.7333333334
21,0.1,0.8,0.8,2177196.533333333
22,0.1,0.8,0.9,2403565.6666666665
23,0.1,0.8,1.0,2215964.066666667
24,0.1,0.9,0.5,2808438.8
25,0.1,0.9,0.6,2491782.8666666667
26,0.1,0.9,0.7,2494684.8
27,0.1,0.9,0.8,2012492.8
28,0.1,0.9,0.9,2009929.9333333333
29,0.1,0.9,1.0,2098968.2666666666
30,0.1,1.0,0.5,2590230.1333333333
31,0.1,1.0,0.6,2951178.7333333334
32,0.1,1.0,0.7,2182661.2666666666
33,0.1,1.0,0.8,2275746.466666667
34,0.1,1.0,0.9,2085893.6666666667
35,0.1,1.0,1.0,1968015.0
36,0.2,0.5,0.5,3943174.6666666665
37,0.2,0.5,0.6,3244592.6
38,0.2,0.5,0.7,3027640.2
39,0.2,0.5,0.8,2449800.0
40,0.2,0.5,0.9,2125382.7333333334
41,0.2,0.5,1.0,2532446.8
42,0.2,0.6,0.5,2849491.8
43,0.2,0.6,0.6,2633723.7333333334
44,0.2,0.6,0.7,2464443.533333333
45,0.2,0.6,0.8,2174552.1333333333
46,0.2,0.6,0.9,2234250.933333333
47,0.2,0.6,1.0,2381528.0
48,0.2,0.7,0.5,2275190.466666667
49,0.2,0.7,0.6,2570037.6
50,0.2,0.7,0.7,2053657.0
51,0.2,0.7,0.8,1886256.0
52,0.2,0.7,0.9,1914394.8
53,0.2,0.7,1.0,2093447.8
54,0.2,0.8,0.5,2219046.6666666665
55,0.2,0.8,0.6,1917500.2
56,0.2,0.8,0.7,1889733.0666666667
57,0.2,0.8,0.8,1960954.8666666667
58,0.2,0.8,0.9,2017411.2
59,0.2,0.8,1.0,1882519.4
60,0.2,0.9,0.5,2022855.0
61,0.2,0.9,0.6,2033398.0666666667
62,0.2,0.9,0.7,1918460.5333333334
63,0.2,0.9,0.8,1965686.2666666666
64,0.2,0.9,0.9,1874204.6
65,0.2,0.9,1.0,1867342.8
66,0.2,1.0,0.5,2046373.4
67,0.2,1.0,0.6,1968587.6666666667
68,0.2,1.0,0.7,1959864.5333333334
69,0.2,1.0,0.8,1936682.0
70,0.2,1.0,0.9,1937864.8
71,0.2,1.0,1.0,1942405.6
72,0.3,0.5,0.5,2606763.2666666666
73,0.3,0.5,0.6,2328486.466666667
74,0.3,0.5,0.7,2528716.0
75,0.3,0.5,0.8,2322159.1333333333
76,0.3,0.5,0.9,2213051.2666666666
77,0.3,0.5,1.0,2347111.2666666666
78,0.3,0.6,0.5,2300392.6666666665
79,0.3,0.6,0.6,2584378.3333333335
80,0.3,0.6,0.7,2068641.8666666667
81,0.3,0.6,0.8,2048278.4
82,0.3,0.6,0.9,2070887.9333333333
83,0.3,0.6,1.0,1976130.2
84,0.3,0.7,0.5,2036873.5333333334
85,0.3,0.7,0.6,2111106.8
86,0.3,0.7,0.7,2094563.5333333334
87,0.3,0.7,0.8,1975040.5333333334
88,0.3,0.7,0.9,2077265.0666666667
89,0.3,0.7,1.0,1935273.8666666667
90,0.3,0.8,0.5,1999496.4
91,0.3,0.8,0.6,1948408.4
92,0.3,0.8,0.7,1948510.2
93,0.3,0.8,0.8,1913746.4
94,0.3,0.8,0.9,1911299.0666666667
95,0.3,0.8,1.0,1923572.6666666667
96,0.3,0.9,0.5,2031040.5333333334
97,0.3,0.9,0.6,2084253.4
98,0.3,0.9,0.7,1998022.4666666666
99,0.3,0.9,0.8,1973114.8
100,0.3,0.9,0.9,1991110.8
101,0.3,0.9,1.0,1968699.5333333334
102,0.3,1.0,0.5,2069349.4666666666
103,0.3,1.0,0.6,2116844.933333333
104,0.3,1.0,0.7,2073315.5333333334
105,0.3,1.0,0.8,2049639.7333333334
106,0.3,1.0,0.9,2060701.4666666666
107,0.3,1.0,1.0,2007429.2
108,0.4,0.5,0.5,2540325.8
109,0.4,0.5,0.6,2705282.3333333335
110,0.4,0.5,0.7,2372872.3333333335
111,0.4,0.5,0.8,2234993.3333333335
112,0.4,0.5,0.9,2100615.6
113,0.4,0.5,1.0,2253404.1333333333
114,0.4,0.6,0.5,2136415.3333333335
115,0.4,0.6,0.6,2215482.2
116,0.4,0.6,0.7,2064352.4666666666
117,0.4,0.6,0.8,2011960.2666666666
118,0.4,0.6,0.9,1906560.2
119,0.4,0.6,1.0,1878277.4
120,0.4,0.7,0.5,2066342.3333333333
121,0.4,0.7,0.6,2102550.8666666667
122,0.4,0.7,0.7,1976635.6
123,0.4,0.7,0.8,1961952.9333333333
124,0.4,0.7,0.9,1901484.0666666667
125,0.4,0.7,1.0,1908642.1333333333
126,0.4,0.8,0.5,2136681.2
127,0.4,0.8,0.6,2106287.466666667
128,0.4,0.8,0.7,2027734.0
129,0.4,0.8,0.8,2007622.5333333334
130,0.4,0.8,0.9,1991830.3333333333
131,0.4,0.8,1.0,1965240.1333333333
132,0.4,0.9,0.5,2149017.4
133,0.4,0.9,0.6,2179459.3333333335
134,0.4,0.9,0.7,2156329.3333333335
135,0.4,0.9,0.8,2093682.4666666666
136,0.4,0.9,0.9,2074503.7333333334
137,0.4,0.9,1.0,2082008.7333333334
138,0.4,1.0,0.5,2330587.3333333335
139,0.4,1.0,0.6,2237346.1333333333
140,0.4,1.0,0.7,2275326.533333333
141,0.4,1.0,0.8,2239884.2
142,0.4,1.0,0.9,2118329.933333333
143,0.4,1.0,1.0,2147002.0
144,0.5,0.5,0.5,2322518.533333333
145,0.5,0.5,0.6,2406972.0
146,0.5,0.5,0.7,2302447.933333333
147,0.5,0.5,0.8,2138847.3333333335
148,0.5,0.5,0.9,2226843.8
149,0.5,0.5,1.0,2004096.7333333334
150,0.5,0.6,0.5,2382894.933333333
151,0.5,0.6,0.6,2113484.6666666665
152,0.5,0.6,0.7,2127553.6
153,0.5,0.6,0.8,2044729.0666666667
154,0.5,0.6,0.9,2083716.8
155,0.5,0.6,1.0,1982420.5333333334
156,0.5,0.7,0.5,2108477.8
157,0.5,0.7,0.6,2035648.7333333334
158,0.5,0.7,0.7,2072043.2666666666
159,0.5,0.7,0.8,1985801.6666666667
160,0.5,0.7,0.9,2043717.0666666667
161,0.5,0.7,1.0,1977037.1333333333
162,0.5,0.8,0.5,2186566.933333333
163,0.5,0.8,0.6,2138970.4
164,0.5,0.8,0.7,2087648.6666666667
165,0.5,0.8,0.8,2142659.2666666666
166,0.5,0.8,0.9,2036782.3333333333
167,0.5,0.8,1.0,2027298.2
168,0.5,0.9,0.5,2331752.3333333335
169,0.5,0.9,0.6,2303963.7333333334
170,0.5,0.9,0.7,2237622.533333333
171,0.5,0.9,0.8,2254940.4
172,0.5,0.9,0.9,2199475.0
173,0.5,0.9,1.0,2175312.933333333
174,0.5,1.0,0.5,2560375.2
175,0.5,1.0,0.6,2476721.066666667
176,0.5,1.0,0.7,2444851.2
177,0.5,1.0,0.8,2451442.4
178,0.5,1.0,0.9,2440849.1333333333
179,0.5,1.0,1.0,2415931.2
