,MX,MP,CR,TSCC
0,0.1,0.5,0.5,1642875.1666666667
1,0.1,0.5,0.6,1454057.8333333333
2,0.1,0.5,0.7,1523903.6
3,0.1,0.5,0.8,1491122.0333333334
4,0.1,0.5,0.9,1345068.2666666666
5,0.1,0.5,1.0,1371668.6666666667
6,0.1,0.6,0.5,1605035.4
7,0.1,0.6,0.6,1840481.2
8,0.1,0.6,0.7,1289277.8333333333
9,0.1,0.6,0.8,1387985.4666666666
10,0.1,0.6,0.9,1107428.6
11,0.1,0.6,1.0,1273859.5666666667
12,0.1,0.7,0.5,1222407.9333333333
13,0.1,0.7,0.6,1264888.2333333334
14,0.1,0.7,0.7,1292117.7666666666
15,0.1,0.7,0.8,1272026.1333333333
16,0.1,0.7,0.9,1021705.7333333333
17,0.1,0.7,1.0,972002.2666666667
18,0.1,0.8,0.5,1298198.7333333334
19,0.1,0.8,0.6,1210225.3333333333
20,0.1,0.8,0.7,1048601.6666666667
21,0.1,0.8,0.8,1073003.4333333333
22,0.1,0.8,0.9,980558.7
23,0.1,0.8,1.0,1102853.7666666666
24,0.1,0.9,0.5,1161408.2666666666
25,0.1,0.9,0.6,1215002.3
26,0.1,0.9,0.7,1008647.2333333333
27,0.1,0.9,0.8,994772.3333333334
28,0.1,0.9,0.9,990457.9
29,0.1,0.9,1.0,975037.1666666666
30,0.1,1.0,0.5,1278377.8333333333
31,0.1,1.0,0.6,1156118.7
32,0.1,1.0,0.7,1040204.9333333333
33,0.1,1.0,0.8,1004285.8
34,0.1,1.0,0.9,973120.5666666667
35,0.1,1.0,1.0,952074.7333333333
36,0.2,0.5,0.5,1285278.5333333334
37,0.2,0.5,0.6,1180853.9666666666
38,0.2,0.5,0.7,1099458.3
39,0.2,0.5,0.8,1176806.4666666666
40,0.2,0.5,0.9,1114120.7333333334
41,0.2,0.5,1.0,984914.0
42,0.2,0.6,0.5,1279842.0
43,0.2,0.6,0.6,1084891.5666666667
44,0.2,0.6,0.7,1002561.6
45,0.2,0.6,0.8,1075967.4666666666
46,0.2,0.6,0.9,1043894.9
47,0.2,0.6,1.0,1064457.8666666667
48,0.2,0.7,0.5,1056609.3333333333
49,0.2,0.7,0.6,1017134.5
50,0.2,0.7,0.7,967186.8666666667
51,0.2,0.7,0.8,910500.2666666667
52,0.2,0.7,0.9,907935.7333333333
53,0.2,0.7,1.0,912917.4666666667
54,0.2,0.8,0.5,956598.0
55,0.2,0.8,0.6,975984.1666666666
56,0.2,0.8,0.7,921876.0666666667
57,0.2,0.8,0.8,937697.0666666667
58,0.2,0.8,0.9,907496.4333333333
59,0.2,0.8,1.0,933312.5666666667
60,0.2,0.9,0.5,978177.2333333333
61,0.2,0.9,0.6,946530.1
62,0.2,0.9,0.7,936810.7
63,0.2,0.9,0.8,918090.0333333333
64,0.2,0.9,0.9,922883.1
65,0.2,0.9,1.0,920102.8666666667
66,0.2,1.0,0.5,975111.1666666666
67,0.2,1.0,0.6,984122.7
68,0.2,1.0,0.7,955757.2666666667
69,0.2,1.0,0.8,951893.1
70,0.2,1.0,0.9,955099.7
71,0.2,1.0,1.0,950782.0
72,0.3,0.5,0.5,1091977.2
73,0.3,0.5,0.6,1074809.1666666667
74,0.3,0.5,0.7,1067754.0666666667
75,0.3,0.5,0.8,1081709.7
76,0.3,0.5,0.9,972791.2
77,0.3,0.5,1.0,934622.8333333334
78,0.3,0.6,0.5,1049713.4333333333
79,0.3,0.6,0.6,1049629.3333333333
80,0.3,0.6,0.7,996329.3666666667
81,0.3,0.6,0.8,1023063.1
82,0.3,0.6,0.9,953218.4666666667
83,0.3,0.6,1.0,921849.3666666667
84,0.3,0.7,0.5,1002746.0333333333
85,0.3,0.7,0.6,967082.5333333333
86,0.3,0.7,0.7,928793.0666666667
87,0.3,0.7,0.8,920433.0333333333
88,0.3,0.7,0.9,930304.8666666667
89,0.3,0.7,1.0,951929.8333333334
90,0.3,0.8,0.5,959219.3666666667
91,0.3,0.8,0.6,947433.3
92,0.3,0.8,0.7,948614.1333333333
93,0.3,0.8,0.8,942499.8333333334
