,MX,MP,CR,TSCC
0,0.1,0.5,0.5,1256093.8
1,0.1,0.5,0.6,1346303.1333333333
2,0.1,0.5,0.7,1221376.9333333333
3,0.1,0.5,0.8,1206202.9333333333
4,0.1,0.5,0.9,1052502.8666666667
5,0.1,0.5,1.0,1141263.3333333333
6,0.1,0.6,0.5,1356976.0
7,0.1,0.6,0.6,1232757.3333333333
8,0.1,0.6,0.7,1263653.0
9,0.1,0.6,0.8,1084653.6
10,0.1,0.6,0.9,1237561.8
11,0.1,0.6,1.0,1115229.9333333333
12,0.1,0.7,0.5,1131661.2666666666
13,0.1,0.7,0.6,1148203.4666666666
14,0.1,0.7,0.7,1143561.2666666666
15,0.1,0.7,0.8,1075752.3333333333
16,0.1,0.7,0.9,1053697.4666666666
17,0.1,0.7,1.0,1055252.0
18,0.1,0.8,0.5,1015160.2666666667
19,0.1,0.8,0.6,1088985.5333333334
20,0.1,0.8,0.7,1112010.6
21,0.1,0.8,0.8,1002711.6
22,0.1,0.8,0.9,1006696.2
23,0.1,0.8,1.0,990128.8
24,0.1,0.9,0.5,1033791.4
25,0.1,0.9,0.6,1018215.2
26,0.1,0.9,0.7,1004387.8
27,0.1,0.9,0.8,994264.6
28,0.1,0.9,0.9,1008916.7333333333
29,0.1,0.9,1.0,1008987.7333333333
30,0.1,1.0,0.5,1011404.0666666667
31,0.1,1.0,0.6,1000352.0
32,0.1,1.0,0.7,994910.8666666667
33,0.1,1.0,0.8,993408.2666666667
34,0.1,1.0,0.9,993992.4
35,0.1,1.0,1.0,997033.0666666667
36,0.2,0.5,0.5,1183605.4666666666
37,0.2,0.5,0.6,1157362.2
38,0.2,0.5,0.7,1154989.8
39,0.2,0.5,0.8,1097126.0
40,0.2,0.5,0.9,1056610.6666666667
41,0.2,0.5,1.0,1100520.0
42,0.2,0.6,0.5,1095766.3333333333
43,0.2,0.6,0.6,1118944.0
44,0.2,0.6,0.7,1060911.5333333334
45,0.2,0.6,0.8,1064527.6666666667
46,0.2,0.6,0.9,1094604.9333333333
47,0.2,0.6,1.0,1032603.6666666666
48,0.2,0.7,0.5,1048716.4666666666
49,0.2,0.7,0.6,1003557.0
50,0.2,0.7,0.7,1008948.1333333333
51,0.2,0.7,0.8,995489.8
52,0.2,0.7,0.9,1019316.2
53,0.2,0.7,1.0,1010459.6666666666
54,0.2,0.8,0.5,1016586.2
55,0.2,0.8,0.6,1007120.0
56,0.2,0.8,0.7,1004405.8
57,0.2,0.8,0.8,1000373.5333333333
58,0.2,0.8,0.9,997037.0666666667
59,0.2,0.8,1.0,997374.5333333333
60,0.2,0.9,0.5,1007533.3333333334
61,0.2,0.9,0.6,1019264.8666666667
62,0.2,0.9,0.7,1005471.5333333333
63,0.2,0.9,0.8,1003826.8
64,0.2,0.9,0.9,1004156.9333333333
65,0.2,0.9,1.0,1004674.8666666667
66,0.2,1.0,0.5,1021051.2666666667
67,0.2,1.0,0.6,1015969.4
68,0.2,1.0,0.7,1016035.4
69,0.2,1.0,0.8,1017715.0666666667
70,0.2,1.0,0.9,1013586.4666666667
71,0.2,1.0,1.0,1015783.0
72,0.3,0.5,0.5,1109693.9333333333
73,0.3,0.5,0.6,1120904.7333333334
74,0.3,0.5,0.7,1060528.9333333333
75,0.3,0.5,0.8,1057866.8
76,0.3,0.5,0.9,1082613.9333333333
77,0.3,0.5,1.0,1045768.2666666667
78,0.3,0.6,0.5,1072556.7333333334
79,0.3,0.6,0.6,1048471.9333333333
80,0.3,0.6,0.7,1037474.3333333334
81,0.3,0.6,0.8,1030153.0666666667
82,0.3,0.6,0.9,1032020.2
83,0.3,0.6,1.0,1013832.8
84,0.3,0.7,0.5,1028942.8
85,0.3,0.7,0.6,1013855.4
86,0.3,0.7,0.7,1015426.2666666667
87,0.3,0.7,0.8,1007578.2
88,0.3,0.7,0.9,1012003.4666666667
89,0.3,0.7,1.0,1002530.8666666667
90,0.3,0.8,0.5,1021810.6666666666
91,0.3,0.8,0.6,1015501.0
92,0.3,0.8,0.7,1012960.5333333333
93,0.3,0.8,0.8,1012092.8666666667
94,0.3,0.8,0.9,1009235.8666666667
95,0.3,0.8,1.0,1004639.2666666667
96,0.3,0.9,0.5,1028894.6
97,0.3,0.9,0.6,1029047.4
98,0.3,0.9,0.7,1027276.8666666667
99,0.3,0.9,0.8,1020587.6666666666
100,0.3,0.9,0.9,1020655.3333333334
101,0.3,0.9,1.0,1021130.6666666666
102,0.3,1.0,0.5,1046243.7333333333
103,0.3,1.0,0.6,1047938.0
104,0.3,1.0,0.7,1042062.0
105,0.3,1.0,0.8,1044942.2666666667
106,0.3,1.0,0.9,1032466.1333333333
107,0.3,1.0,1.0,1029203.5333333333
108,0.4,0.5,0.5,1108235.8
109,0.4,0.5,0.6,1102610.7333333334
110,0.4,0.5,0.7,1096600.8
111,0.4,0.5,0.8,1052692.4666666666
112,0.4,0.5,0.9,1058182.6
113,0.4,0.5,1.0,1076457.8666666667
114,0.4,0.6,0.5,1076543.8
115,0.4,0.6,0.6,1054595.4666666666
116,0.4,0.6,0.7,1044974.3333333334
117,0.4,0.6,0.8,1033645.8
118,0.4,0.6,0.9,1025518.1333333333
119,0.4,0.6,1.0,1024497.1333333333
120,0.4,0.7,0.5,1034871.6666666666
121,0.4,0.7,0.6,1027024.2
122,0.4,0.7,0.7,1018625.5333333333
123,0.4,0.7,0.8,1017914.8
124,0.4,0.7,0.9,1013010.0
125,0.4,0.7,1.0,1013689.4
126,0.4,0.8,0.5,1040963.2666666667
127,0.4,0.8,0.6,1027923.8666666667
128,0.4,0.8,0.7,1028177.4666666667
129,0.4,0.8,0.8,1027439.6666666666
130,0.4,0.8,0.9,1024666.4
131,0.4,0.8,1.0,1022001.2
132,0.4,0.9,0.5,1053297.6
133,0.4,0.9,0.6,1054410.8
134,0.4,0.9,0.7,1047628.4
135,0.4,0.9,0.8,1053268.5333333334
136,0.4,0.9,0.9,1047770.5333333333
137,0.4,0.9,1.0,1043605.1333333333
138,0.4,1.0,0.5,1096679.5333333334
139,0.4,1.0,0.6,1105658.8
140,0.4,1.0,0.7,1071765.2666666666
141,0.4,1.0,0.8,1070155.2
142,0.4,1.0,0.9,1080102.7333333334
143,0.4,1.0,1.0,1073208.7333333334
144,0.5,0.5,0.5,1166792.6666666667
145,0.5,0.5,0.6,1110500.8666666667
146,0.5,0.5,0.7,1057515.8666666667
147,0.5,0.5,0.8,1067140.6
148,0.5,0.5,0.9,1072137.2666666666
149,0.5,0.5,1.0,1057211.9333333333
150,0.5,0.6,0.5,1115092.1333333333
151,0.5,0.6,0.6,1073049.6666666667
152,0.5,0.6,0.7,1088010.4
153,0.5,0.6,0.8,1033918.7333333333
154,0.5,0.6,0.9,1034647.8
155,0.5,0.6,1.0,1033229.3333333334
156,0.5,0.7,0.5,1053225.4
157,0.5,0.7,0.6,1041658.6
158,0.5,0.7,0.7,1032392.8666666667
159,0.5,0.7,0.8,1029457.8
160,0.5,0.7,0.9,1037126.8666666667
161,0.5,0.7,1.0,1028151.2666666667
162,0.5,0.8,0.5,1070941.9333333333
163,0.5,0.8,0.6,1058604.4
164,0.5,0.8,0.7,1072207.4666666666
165,0.5,0.8,0.8,1068722.4666666666
166,0.5,0.8,0.9,1050913.3333333333
167,0.5,0.8,1.0,1055015.1333333333
168,0.5,0.9,0.5,1111232.6666666667
169,0.5,0.9,0.6,1109044.5333333334
170,0.5,0.9,0.7,1095301.8666666667
171,0.5,0.9,0.8,1078700.7333333334
172,0.5,0.9,0.9,1068362.2666666666
173,0.5,0.9,1.0,1070245.0666666667
174,0.5,1.0,0.5,1168211.8
175,0.5,1.0,0.6,1155470.1333333333
176,0.5,1.0,0.7,1129490.7333333334
177,0.5,1.0,0.8,1134485.0
178,0.5,1.0,0.9,1129682.5333333334
179,0.5,1.0,1.0,1112544.2
