,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,24263628,21132755,26642601,17409745,24216765,21544902,16298295,27140190,12100276,26715190,17187474,18666891,21554825,9940929,11971597,15642330,14324483,21952869,30649383,17195055,35046150,16405631,18018602,18273660,22116310,6110582,17510807,25093989,34040257,25177463,20478121.133333333
1,21487598,9716497,26642601,8477965,24216765,21544902,12446165,27140190,8268396,15625958,17187474,12835429,18362997,8154687,11971597,13107930,14324483,21952869,14031499,17195055,12066722,13843115,17899930,16289548,22116310,6110582,17510807,25093989,27282843,20299283,16773472.866666667
2,19021184,9716497,22774283,8477965,24216765,13464538,4021971,12248950,7103196,9808118,15098990,10297643,17378331,8154687,11501721,13107930,13171977,21952869,13911043,14107431,12066722,10807623,12806514,16289548,17530110,6110582,15137523,14175525,13526929,20299283,13609548.266666668
3,18606712,9716497,22774283,8477965,21195349,11551610,4019727,9839614,7103196,7776994,15098990,7995265,13407583,8154687,11501721,7895736,13171977,15029203,12352489,6295637,10667010,9665823,11768246,14868434,14843300,6110582,11632721,14175525,12121553,15026955,11761512.8
4,13561830,8207987,20431307,8477965,21195349,10221858,4019727,9839614,5750112,7776994,13939742,7995265,13197099,8154687,9323641,7895736,4914773,6898665,11426863,6295637,4012992,6785359,8683350,11947474,13790852,5036758,8705001,14175525,10802299,14193827,9921942.933333334
5,7328974,8207987,18447787,8477965,18624375,8363376,4019727,9338340,5403788,7058510,6416896,7995265,12920975,7096455,8510193,7856158,4914773,6898665,10986927,6295637,4012992,6785359,5977408,11339280,12179072,5036758,6950991,14175525,10802299,8868089,8709684.866666667
6,7328974,8024943,17432827,7517855,14249493,6804470,3664663,9338340,5403788,7058510,6416896,7995265,10128923,7096455,7927765,6904330,4444669,6258449,10810975,6295637,4012992,6785359,5221280,8800828,10815280,5036758,6950991,13307633,9127299,7281221,7948095.6
7,7328974,7020263,16770885,7517855,11431789,4665242,3664663,7949166,4717842,6392222,6416896,7719125,10128923,4867197,4636247,6881598,4444669,6258449,10536207,5090283,3337662,4832731,4070166,7958812,9660284,4627738,6936151,12150917,8748121,5712379,7082448.533333333
8,7313372,7020263,15918849,5555163,7259943,4665242,3664663,6465370,3497310,4686084,5145214,7719125,5904547,3581419,4636247,3293866,4444669,2382051,8883011,4631755,2732524,4832731,3843700,7958812,8886320,4466018,6402561,8655977,8748121,5626453,5960712.666666667
9,7313372,6356747,12507259,5555163,7259943,3168252,2799413,5230870,3497310,4197746,5145214,7274165,5904547,3581419,4636247,3293866,3677733,2382051,8328187,4631755,2732524,3960215,3843700,7434232,8886320,4466018,6402561,7783353,7702573,5626453,5519306.933333334
