,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,1213683,1523044,1769532,1578889,1309365,2386319,3121799,920166,1990127,2113917,1699074,1548153,2788962,2318925,1997023,3923577,1136141,3756427,2882612,2020351,1606929,1478638,1735544,2276372,1151713,1088003,957960,2480181,2523668,1256012,1951770.2
1,961127,1523044,1587862,1506173,678681,1930542,2709494,920166,1990127,1697874,1699074,1548153,1769385,1366594,1698449,3476904,1136141,1846155,2260890,2020351,1303550,1478638,1735544,2036726,1151713,1088003,957960,2438364,1129266,1256012,1630098.7333333334
2,821095,1523044,1305609,1493450,521270,1930542,1708532,920166,1132054,867510,1008315,1548153,1408684,1186426,1408389,3476904,1136141,1846155,1821632,1922177,1192261,1108585,1383417,1998111,978522,1088003,957960,2141109,1129266,1256012,1407316.4666666666
3,592158,1519206,930445,1454478,521270,1705744,1065062,920166,1132054,867510,1008315,1548153,1380128,1186426,1408389,2110085,1136141,1258938,1380142,1642604,1192261,816480,1187558,1283122,978522,1088003,957960,1209659,1129266,1022196,1187748.0333333334
4,592158,1163239,817305,1138538,521270,1660054,1055840,826932,815318,867510,742062,1548153,915810,696365,1150346,2110085,916107,1258938,1380142,1595995,839615,801991,801622,1221239,602986,917013,957960,1209659,1129266,971766,1040842.8
5,505242,1163239,817305,1138538,521270,1315089,1055840,826932,815318,736847,742062,1297193,617205,696365,862549,2110085,916107,938612,1249269,1326897,791476,629974,801622,1221239,598450,824719,873024,1207653,1129266,911594,954699.3666666667
6,505242,1151749,817305,997448,521270,1315089,866338,709757,815318,736847,677569,950437,617205,622757,851461,1488851,589092,779943,871266,1306365,651704,629974,801622,1221239,598450,701452,818375,1058342,1129266,911594,857110.9
7,463794,870718,817254,997448,478372,1062719,866338,709757,684650,647077,677569,719254,617205,589336,682279,1488851,542004,779943,636770,1224474,651704,622377,801622,1221239,598450,671511,589494,905852,1003646,758828,779351.1666666666
8,463794,743465,696520,819432,478372,951741,834462,709757,611242,637744,493166,719254,441641,502715,530997,1454301,542004,566549,590784,1195242,651704,622377,784743,882247,595562,636455,589494,905852,819092,720940,706388.2666666667
9,459851,593097,581625,819432,478372,951741,821750,705390,611242,637744,493166,719254,441641,502715,530997,1438584,531421,524433,590784,1172165,567286,622377,784743,882247,585260,612153,490289,863200,738197,659277,680347.7666666667
10,459851,593097,581625,819432,478372,669203,552775,677352,591041,533495,493166,687289,441641,463026,517383,1226601,531421,524433,438454,1077535,567286,502751,784743,882247,515746,508912,490289,653874,695297,659277,620587.1333333333
11,459851,516421,481498,711700,478372,477571,552775,658971,591041,519294,477806,595012,441641,461455,481551,1122642,520783,524433,438454,1008135,542505,438982,685183,882247,515746,508912,405418,653874,676769,534249,578776.3666666667
12,459851,516421,475905,711700,463444,477571,552775,658971,588595,519294,477806,517315,441641,450697,481551,1056343,444161,524433,438454,929208,542505,438982,685183,882247,486656,453024,405418,618965,493402,534249,557558.9
13,459851,516421,475905,702360,463444,477571,512148,620166,467900,487701,458598,480877,441641,447014,481267,828601,444161,467909,438454,929208,542505,438982,685183,743410,450308,453024,405418,452273,493402,534249,526665.0333333333
14,446749,455392,475905,702360,463444,477571,512148,620166,467900,487701,445215,480877,441641,447014,481267,653639,444161,467909,438454,925984,518349,438982,560673,629633,450308,453024,405418,443700,493402,519860,508294.86666666664
15,446749,455392,475905,702360,448615,477571,500948,576707,467900,487701,445215,480877,441641,447014,466299,520562,444161,467909,438454,897884,518349,438982,560673,586273,450308,453024,405418,443700,493402,465887,496862.6666666667
16,446749,455392,447655,577057,448615,477571,443326,576707,452831,487701,426001,480877,441641,447014,466299,520562,444161,467909,434642,805513,513644,438982,560673,586273,436868,453024,405418,443700,449770,436984,482451.9666666667
17,446749,450095,441872,531355,448615,477571,443326,514775,450653,462571,419934,480877,441641,447014,466299,487857,444161,453743,434642,805513,513644,438982,488037,586273,436868,453024,405418,443700,449770,436984,473398.76666666666
18,443029,450095,441872,531355,448615,477571,443326,514775,434673,462571,419934,480877,441641,447014,466299,487857,444161,428311,434642,805513,488107,438982,488037,580930,436868,448678,403412,436166,449770,436984,470402.1666666667
19,443029,419875,441872,531355,437143,477571,443326,514775,434673,462571,419934,443795,441641,447014,459074,472420,444161,428311,434642,716967,488107,438982,488037,575181,436868,448678,403412,436166,449770,436984,463877.8
20,443029,419875,441872,531355,437143,474253,443326,514775,434673,462571,408735,443795,441641,447014,459074,472420,444161,428311,434642,663235,449769,438982,488037,575181,436868,448678,403107,436166,449770,436984,460314.73333333334
21,443029,419875,441872,531355,437143,474253,443326,514775,434673,462571,407482,443795,441641,447014,453969,469079,444161,428311,434642,663235,449769,438982,488037,536190,436868,448678,403107,436166,449770,436984,458691.73333333334
22,443029,419875,441872,494753,437143,474253,443326,514775,421717,462571,407482,434859,441641,447014,453969,437466,444161,428311,434642,663235,449769,438982,488037,536190,436868,448294,403107,436166,449770,436984,455675.36666666664
23,443029,419875,425188,494753,437143,474253,443326,514775,421717,462571,402702,434859,441641,441570,453969,437466,444161,428311,434642,619993,449769,438982,488037,536190,436868,448294,403107,436166,449146,436984,453316.23333333334
24,437248,419875,425188,462549,437143,474253,443326,514775,421717,462571,402702,434859,441641,441570,453969,437466,444161,428311,434642,619993,449769,438982,488037,536190,436868,436156,403107,436166,444402,436984,451487.3333333333
25,437248,419875,425188,462549,437143,454290,443326,514775,421717,462571,402702,418812,441641,428566,453969,437466,444161,428311,434642,617041,449769,438982,488037,533669,436868,436156,403107,436166,444402,436984,449671.1
26,437248,419875,425188,462549,437143,454290,443326,514775,421717,462571,400656,418812,441641,428566,448518,437466,439217,428311,430383,617041,449769,438982,488037,522235,436868,436156,403107,436166,444402,436984,448733.3
27,437248,419875,418546,462549,437143,454290,434613,514775,421717,462571,400656,418812,441641,428566,448518,437466,439217,428311,430383,558070,447584,438982,488037,486692,436868,436156,403107,436166,444402,436984,444998.1666666667
28,437248,419875,418546,442901,433482,454290,434613,508638,421717,462571,400656,418812,441641,428566,448518,437466,439217,428311,430383,558070,447584,438982,488037,486692,436868,423898,403107,436166,444402,436984,443608.0333333333
29,437248,419875,418546,442901,428067,454290,434613,449580,421717,462571,400656,418812,441641,428566,447306,436421,439217,428311,430383,543379,447584,438982,488037,470944,436868,423898,403107,436166,444402,436984,440369.06666666665
30,435156,419875,418546,430224,428067,454290,434613,449580,421717,462571,400656,418812,441641,428566,447306,436421,439217,428311,430383,501398,447584,438982,488037,470944,436868,423898,403107,436166,444402,436984,438477.4
31,435156,419875,418546,430224,423173,450409,434613,449580,417905,462571,400656,418812,441641,426959,447306,436421,438920,428311,430383,501398,447584,438982,475475,470944,436868,423898,403107,436166,419398,436984,436742.1666666667
32,435156,415861,418546,430224,423173,450409,434613,449580,417905,462571,400656,418812,441641,426675,447306,436421,436351,428311,430383,433308,447584,438982,475475,470944,436868,422925,403107,436166,419398,436984,434211.1666666667
33,435156,415861,418546,430224,423173,450409,434613,449580,417905,462571,400656,418812,438181,426675,447306,436421,436351,428311,430383,433308,447584,438982,474464,470944,436868,422925,403107,436166,419398,436984,434062.13333333336
34,435156,415861,418546,430224,423173,450409,434613,449580,417905,462571,400656,418812,438181,426675,447306,436421,436351,428311,430383,433308,447584,438982,474464,470944,436868,422925,403107,436166,419398,436984,434062.13333333336
35,435156,415861,418546,430224,423173,450409,434613,449580,417905,462571,400656,418812,438181,426675,447306,436421,436351,428311,430383,433308,447584,438982,474464,470944,436868,422925,402537,436166,419398,436984,434043.13333333336
36,435156,415861,418546,422426,423173,450409,434613,449580,417905,462571,400656,418812,438181,426675,447306,436421,436351,428311,430383,433308,447584,438982,474464,470944,436868,422925,402537,436166,419398,436984,433783.2
37,435156,415861,418546,422426,423173,450409,434613,449580,417905,462571,400656,418812,431866,426675,443921,436421,436351,428311,430383,433308,447584,438982,469831,470944,436868,422925,402537,436166,419398,436984,433305.43333333335
38,435156,415861,418546,422426,423173,450237,434613,449580,417905,459722,400656,418812,431866,420928,443921,436421,436351,428311,430383,433308,447584,438982,469831,467861,436868,422925,402537,432531,419398,436984,432789.23333333334
39,435156,415861,418546,422426,423173,450237,434613,442936,417905,459722,400656,418812,431866,420928,443921,436048,436351,428311,430383,433308,447584,438982,469831,460465,436868,422925,402537,432531,410554,436984,432014.0
40,435156,415861,418546,415840,423173,450237,434613,442936,417905,459722,400656,418812,431866,420928,443921,435016,436351,428311,430383,433308,447584,438982,469831,460465,436868,422925,402537,432531,410554,436984,431760.06666666665
41,435156,415861,418546,415840,423173,450237,434613,442936,417905,459722,400656,418812,431866,419616,443921,435016,436351,428311,430383,433308,447584,438982,469831,460221,436868,422925,402537,432531,410554,436984,431708.2
42,435156,415861,418546,414734,423173,450237,434613,442936,417905,459722,400656,418812,431866,419616,443921,435016,436351,428311,430383,433308,447584,438982,469831,460221,436868,417714,402537,432531,410554,436984,431497.63333333336
43,435156,415861,418546,411322,423173,450237,434613,442936,417905,459722,400656,418812,431866,419616,443921,435016,436351,428311,430383,433308,447584,438982,469831,460221,436868,417714,401911,431567,410554,436984,431330.9
44,435156,415861,418546,411322,423173,450237,434613,442936,417905,451607,400656,418812,431866,419616,443921,435016,436351,428311,430383,433308,444101,438982,469831,460221,436868,417714,401911,431567,410554,436984,430944.3
45,435156,415861,418546,411322,423173,450237,428910,442936,417905,451607,400656,418812,431866,419616,443921,435016,436351,428311,430383,433308,444101,438982,469831,460221,436868,417714,401911,431567,410554,436984,430754.2
