,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,2479234,3497166,4605171,4097909,2505806,5519729,7847250,1966452,4802726,4209523,4216870,3749192,5855092,4918454,4108728,10720124,2989512,9555329,7354861,5054244,3536447,3116132,4005576,5034810,2839031,2162054,2194520,6421946,5953342,2569086,4596210.533333333
1,2212466,3497166,4055079,3777385,1809046,4832425,6566548,1966452,4502318,3133969,3727650,2315652,5855092,4172230,4108728,9451800,2989512,6212345,3742333,3881052,2648941,3116132,3878384,4475706,1896517,2162054,2194520,5871368,3217258,2569086,3827973.8
2,2212466,3133250,3066395,3777385,1115106,4832425,5347308,1966452,2641078,3133969,3148714,2315652,3436946,3496640,3371086,9451800,2624756,6212345,3335533,3709112,2207347,2821580,3564344,3512836,1896517,2162054,1836548,5173184,3217258,2363110,3369439.8666666667
3,2082638,1925678,3066395,2943947,1078962,4379201,5016062,1966452,2137930,2413897,2138314,2227984,3436946,2717818,3041778,5684720,2247372,5856321,1725447,2606420,2164151,1796104,3032160,3457750,1895965,1907664,1836548,4706340,3217258,2226380,2831153.4
4,1147804,1925678,2201609,2713291,1078962,4353577,5016062,1707454,2137930,2413897,1849962,2205368,3226484,2358660,2910220,5028880,2044980,5095231,1725447,1825368,1731879,1796104,2203340,3148786,1720139,1907664,1836548,3871754,2426566,2146664,2525210.2666666666
5,1147804,1142178,2201609,2713291,1078962,3672215,1778482,1653714,2137930,2413897,1457674,1915710,2740320,2358660,2226946,4235514,1673428,2371539,1666999,1532344,1588447,1742122,2203340,2906238,1720139,1477736,1387066,2553894,2408342,2146664,2075106.8
6,1147804,1142178,1827811,2030461,1078962,3221595,1498114,1618918,1625082,2413897,1457674,1659996,1970784,2222030,2226946,4235514,1312258,2371539,1605759,1532344,1363195,1444290,2203340,2214086,1302339,1384220,1387066,2553894,2089812,1674820,1860557.6
7,1147804,1142178,1548867,2030461,1078962,2486789,1498114,1470318,1515578,1816965,1163080,1659996,1639366,1799720,1573180,3729016,1312258,2371539,1605759,1532344,1330059,1444290,2077558,2214086,1302339,1384220,1387066,1775912,1994784,1426468,1681969.2
8,1147804,982078,1485409,2030461,1039236,2273857,1498114,1425852,1500712,1816965,1069760,1636994,1173634,1799720,1483668,3487872,1312258,2371539,1382553,1532344,1330059,1444290,2077558,2214086,1302339,1159220,990936,1714400,1994784,1356482,1601166.1333333333
9,1147804,982078,1485409,1593085,1039236,1793389,1498114,1256084,1196994,1816965,1069760,1279642,1173634,1610330,1361738,2561506,1312258,2371539,1262977,1532344,1182313,1444290,1588496,1725334,1302339,1159220,990936,1714400,1767240,1283874,1450110.9333333333
10,1147804,982078,1376359,1593085,996498,1793389,1244592,1256084,1196994,1528139,1069760,1279642,1173634,1610330,1361738,2449930,1312258,2371539,1262977,1370534,1182313,1444290,1588496,1725334,1273799,1159220,990936,1714400,1649962,1283874,1412999.6
11,1147804,982078,1376359,1557321,996498,1740215,1244592,1256084,1196994,1528139,1069760,1279642,1173634,1319196,1170982,2339438,1309138,2057863,1069001,1309700,1135441,1444290,1588496,1725334,1056507,1159220,990936,1533248,1340498,1065822,1338807.6666666667
12,1145090,982078,1190961,1382203,995450,1740215,1244592,1091130,1181148,1528139,1069760,1279642,1173634,1278832,1122272,1989796,1219056,2057863,1069001,1309700,1135441,1264544,1556712,1700018,1042697,1159220,990936,1230020,1340498,1065822,1284549.0
